QUERY_ID,DOC_ID,ORDER
28504,1102044,3
28504,14871,4
28504,5095,5
25639,1945,1
25639,2531,2
25639,122,3
25639,741,4
25639,5226,5
22102,15508,1
22102,16263,2
22102,301,3
22102,78,4
22102,15564,5
22157,1104849,1
22157,14789,2
22157,966,3
22157,1197,4
22157,970,5
17964,2095,1
17964,1200,2
17964,1196,3
17964,14761,4
17964,261,5
25592,1110564,1
25592,2105,2
25592,1994,3
25592,323,4
25592,3433,5
30279,5033,1
30279,1080,2
30279,14837,3
30279,3289,4
30279,15314,5
28916,1142,1
28916,283,2
28916,329,3
28916,1716,4
28916,210,5
21229,1960,1
21229,260,2
21229,1195,3
21229,14762,4
21229,15506,5
22127,1085,1
22127,3674,2
22127,1105372,3
22127,16270,4
22127,1574,5
17231,2556,1
17231,315,2
17231,1118254,3
17231,1292,4
17231,1442,5
15320,334,1
15320,1224,2
15320,522,3
15320,5348,4
15320,1226,5
42266,2041,1
42266,1381,2
42266,649,3
42266,3295,4
42266,1218,5
21289,932,1
21289,741,2
21289,1950,3
21289,656,4
21289,323,5
20627,2712,1
20627,2717,2
20627,932,3
20627,2221,4
20627,1635,5
21236,898,1
21236,3419,2
21236,1635,3
21236,3422,4
21236,762,5
26593,186,1
26593,1791,2
26593,522,3
26593,15826,4
26593,775,5
11634,1102882,1
11634,345,2
11634,1581,3
11634,866,4
11634,5393,5
11623,57,1
11623,1244,2
11623,6640,3
11623,1106693,4
11623,134,5
26101,14823,1
26101,1231,2
26101,3862,3
26101,1526,4
26101,874,5
28494,1522,1
28494,41,2
28494,14851,3
28494,1565,4
28494,785,5
28476,1102044,1
28476,2041,2
28476,1526,3
28476,1102265,4
28476,1113973,5
21198,1104440,1
21198,932,2
21198,1289,3
21198,2798,4
21198,14930,5
17929,1202,1
17929,932,2
17929,1104724,3
17929,5229,4
17929,1204,5
28501,1106,1
28501,1116,2
28501,92,3
28501,1298,4
28501,4003,5
30124,26,1
30124,3009,2
30124,5259,3
30124,6665,4
30124,210,5
13148,936,1
13148,3674,2
13148,5464,3
13148,932,4
13148,1252,5
22143,4596,1
22143,4541,2
22143,4535,3
22143,1106915,4
22143,4421,5
19578,4759,1
19578,4761,2
19578,210,3
19578,4758,4
19578,4760,5
34957,1100488,1
34957,15224,2
34957,1107108,3
34957,1752,4
34957,5308,5
34968,5572,1
34968,16002,2
34968,15870,3
34968,15306,4
34968,5209,5
26563,494,1
26563,6413,2
26563,15942,3
26563,15939,4
26563,1685,5
11650,629,1
11650,14805,2
11650,1105294,3
11650,15708,4
11650,7240,5
34810,1243,1
34810,4721,2
34810,5095,3
34810,4524,4
34810,1776,5
14951,3133,1
14951,116,2
14951,1100131,3
14951,1104122,4
14951,117,5
20603,536,1
20603,16002,2
20603,5300,3
20603,15298,4
20603,15299,5
15295,1253,1
15295,4689,2
15295,836,3
15295,1107544,4
15295,2369,5
29618,1522,1
29618,41,2
29618,6359,3
29618,997,4
29618,6340,5
19569,4762,1
19569,4759,2
19569,866,3
19569,4761,4
19569,4760,5
17098,2385,1
17098,15508,2
17098,1981,3
17098,2556,4
17098,5364,5
46654,3018,1
46654,1259,2
46654,1104208,3
46654,15368,4
46654,1104239,5
49113,3674,1
49113,3617,2
49113,5336,3
49113,342,4
49113,1113923,5
53003,15893,1
53003,3514,2
53003,14789,3
53003,15304,4
53003,503,5
43943,370,1
43943,83,2
43943,15331,3
43943,547,4
43943,1106730,5
46691,579,1
46691,1244,2
46691,691,3
46691,421,4
46691,1100611,5
50537,2528,1
50537,2798,2
50537,14930,3
50537,932,4
50537,483,5
51881,1104564,1
51881,14767,2
51881,1442,3
51881,1109434,4
51881,1290,5
51880,14767,1
51880,1253,2
51880,1104564,3
51880,1478,4
51880,5223,5
51857,176,1
51857,1478,2
51857,1104564,3
51857,1726,4
51857,1195,5
53065,5095,1
53065,1296,2
53065,1516,3
53065,370,4
53065,5307,5
41879,3294,1
41879,3386,2
41879,3036,3
41879,15308,4
41879,1563,5
43892,4485,1
43892,3018,2
43892,1106,3
43892,5116,4
43892,5121,5
43696,882,1
43696,5106,2
43696,3018,3
43696,1104208,4
43696,1100731,5
43859,5106,1
43859,1106,2
43859,3018,3
43859,1104208,4
43859,1116,5
51529,502,1
51529,3514,2
51529,1102030,3
51529,14904,4
51529,2547,5
60201,1089,1
60201,1200,2
60201,1196,3
60201,1088,4
60201,1106693,5
60202,5096,1
60202,1635,2
60202,1041,3
60202,483,4
60202,2282,5
59956,2094,1
59956,2068,2
59956,1200,3
59956,1635,4
59956,932,5
60387,5095,1
60387,1103379,2
60387,1243,3
60387,336,4
60387,4670,5
46879,1100584,1
46879,1516,2
46879,1095,3
46879,1102246,4
46879,15317,5
58558,15235,1
58558,1100126,2
58558,15446,3
58558,2399,4
58558,1100095,5
58515,15235,1
58515,5464,2
58515,5095,3
58515,6398,4
58515,1085,5
58300,1357,1
58300,503,2
58300,932,3
58300,15446,4
58300,15235,5
58316,15536,1
58316,1131,2
58316,207,3
58316,4001,4
58316,668,5
59226,1496,1
59226,14762,2
59226,14789,3
59226,15304,4
59226,14930,5
59935,291,1
59935,1945,2
59935,5226,3
59935,932,4
59935,1947,5
60619,1106,1
60619,24,2
60619,1298,3
60619,1102316,4
60619,4003,5
60507,1232,1
60507,1251,2
60507,5043,3
60507,5288,4
60507,14789,5
43397,291,1
43397,283,2
43397,83,3
43397,887,4
43397,3778,5
50597,932,1
50597,5226,2
50597,3435,3
50597,741,4
50597,1945,5
59865,2528,1
59865,932,2
59865,1357,3
59865,14920,4
59865,1100230,5
60052,1092,1
60052,4727,2
60052,1100535,3
60052,4726,4
60052,1712,5
52590,887,1
52590,1114,2
52590,1015,3
52590,5362,4
52590,11,5
52476,1106,1
52476,24,2
52476,988,3
52476,1015,4
52476,1116,5
52779,4524,1
52779,1100551,2
52779,14826,3
52779,5006,4
52779,1231,5
49167,3290,1
49167,15312,2
49167,1563,3
49167,887,4
49167,1298,5
56121,775,1
56121,14872,2
56121,1248,3
56121,15583,4
56121,966,5
56553,1142,1
56553,3808,2
56553,1109434,3
56553,588,4
56553,210,5
47871,685,1
47871,1635,2
47871,631,3
47871,51,4
47871,15266,5
49287,15737,1
49287,15739,2
49287,16189,3
49287,1110495,4
49287,3912,5
59414,291,1
59414,207,2
59414,283,3
59414,1716,4
59414,3774,5
50258,1103144,1
50258,15631,2
50258,334,3
50258,1298,4
50258,1102430,5
50845,15452,1
50845,5095,2
50845,1102514,3
50845,2579,4
50845,3807,5
50860,5043,1
50860,1243,2
50860,15290,3
50860,370,4
50860,2357,5
43617,5125,1
43617,5129,2
43617,1103608,3
43617,15633,4
43617,1106,5
55078,15918,1
55078,579,2
55078,428,3
55078,15704,4
55078,7619,5
55420,4759,1
55420,4761,2
55420,210,3
55420,4758,4
55420,4756,5
45352,1092,1
45352,1089,2
45352,1088,3
45352,1101003,4
45352,1080,5
45035,2531,1
45035,1945,2
45035,741,3
45035,5229,4
45035,1289,5
45033,1357,1
45033,932,2
45033,503,3
45033,504,4
45033,14930,5
45015,14762,1
45015,1195,2
45015,2528,3
45015,2798,4
45015,15830,5
44791,1249,1
44791,932,2
44791,1114116,3
44791,483,4
44791,1289,5
52040,1409,1
52040,3250,2
52040,2850,3
52040,1104097,4
52040,3381,5
46410,1100555,1
46410,5701,2
46410,1107173,3
46410,4639,4
46410,1231,5
46411,359,1
46411,360,2
46411,390,3
46411,775,4
46411,4070,5
54055,1104440,1
54055,14825,2
54055,1685,3
54055,10,4
54055,1213,5
55023,372,1
55023,1100607,2
55023,1102013,3
55023,4524,4
55023,5095,5
43505,1104262,1
43505,1116,2
43505,5456,3
43505,16006,4
43505,1106,5
43349,1100488,1
43349,5120,2
43349,15343,3
43349,14816,4
43349,5300,5
22895,3770,1
22895,15697,2
22895,14799,3
22895,15266,4
22895,1103844,5
14615,397,1
14615,180,2
14615,1119595,3
14615,6432,4
14615,184,5
25805,14933,1
25805,1102044,2
25805,1244,3
25805,1346,4
25805,15286,5
9193,16021,1
9193,477,2
9193,15279,3
9193,5098,4
9193,5095,5
30611,4759,1
30611,514,2
30611,1258,3
30611,4761,4
30611,1218,5
28875,1945,1
28875,932,2
28875,2497,3
28875,2504,4
28875,741,5
34661,359,1
34661,390,2
34661,360,3
34661,14950,4
34661,1103362,5
23438,1213,1
23438,567,2
23438,873,3
23438,1685,4
23438,1104113,5
59544,6420,1
59544,841,2
59544,1942,3
59544,5288,4
59544,836,5
26889,6420,1
26889,2054,2
26889,1231,3
26889,1232,4
26889,1251,5
27434,1749,1
27434,1501,2
27434,5464,3
27434,6398,4
27434,2369,5
37329,5087,1
37329,1100573,2
37329,15949,3
37329,409,4
37329,15,5
9924,3290,1
9924,668,2
9924,484,3
9924,207,4
9924,1103785,5
22252,6669,1
22252,6668,2
22252,5003,3
22252,370,4
22252,14794,5
22230,1397,1
22230,1516,2
22230,522,3
22230,1695,4
22230,6412,5
22843,376,1
22843,2195,2
22843,1157,3
22843,1100003,4
22843,1708,5
22842,973,1
22842,6412,2
22842,1100036,3
22842,522,4
22842,5095,5
25738,291,1
25738,1349,2
25738,5250,3
25738,499,4
25738,5349,5
25742,1366,1
25742,14854,2
25742,16295,3
25742,92,4
25742,5250,5
19604,14816,1
19604,15996,2
19604,1104246,3
19604,15945,4
19604,1100586,5
17226,1102030,1
17226,15825,2
17226,1100170,3
17226,168,4
17226,2385,5
5376,1991,1
5376,6414,2
5376,251,3
5376,372,4
5376,15329,5
20707,5095,1
20707,1103554,2
20707,15390,3
20707,631,4
20707,1157,5
12038,1263,1
12038,1331,2
12038,1685,3
12038,15329,4
12038,1100573,5
35996,1100944,1
35996,1100573,2
35996,14825,3
35996,5288,4
35996,1107071,5
36254,1376,1
36254,5003,2
36254,2369,3
36254,5223,4
36254,15,5
36633,2369,1
36633,5207,2
36633,1213,3
36633,1088,4
36633,1100323,5
22746,2307,1
22746,260,2
22746,1706,3
22746,483,4
22746,1085,5
645,342,1
645,15214,2
645,2553,3
645,579,4
645,15158,5
4211,5098,1
4211,1243,2
4211,5348,3
4211,2041,4
4211,5095,5
21494,15160,1
21494,15161,2
21494,15164,3
21494,14861,4
21494,1104405,5
23520,5703,1
23520,327,2
23520,195,3
23520,15266,4
23520,5229,5
11824,1100245,1
11824,5470,2
11824,6665,3
11824,14966,4
11824,3302,5
4878,1760,1
4878,1231,2
4878,2054,3
4878,15336,4
4878,4592,5
8887,342,1
8887,1215,2
8887,3811,3
8887,874,4
8887,631,5
3564,15086,1
3564,1563,2
3564,1157,3
3564,614,4
3564,3290,5
5954,1231,1
5954,14837,2
5954,4524,3
5954,1113867,4
5954,1215,5
26736,3674,1
26736,1635,2
26736,15214,3
26736,1101159,4
26736,1114139,5
127020,5914,1
127020,2514,2
127020,1118,3
127020,5562,4
127020,395,5
12857,3290,1
12857,1563,2
12857,1101548,3
12857,2821,4
12857,251,5
20474,1959,1
20474,1200,2
20474,6415,3
20474,932,4
20474,5298,5
17250,1255,1
17250,845,2
17250,1292,3
17250,14718,4
17250,2494,5
12363,15407,1
12363,15405,2
12363,6144,3
12363,1757,4
12363,1100589,5
13348,1231,1
13348,15915,2
13348,1292,3
13348,83,4
13348,65,5
14781,1496,1
14781,14762,2
14781,3674,3
14781,1573,4
14781,1736,5
15289,14762,1
15289,14829,2
15289,1195,3
15289,1259,4
15289,14930,5
14692,5095,1
14692,2369,2
14692,1102428,3
14692,1195,4
14692,2821,5
25240,932,1
25240,741,2
25240,1204,3
25240,1447,4
25240,5226,5
17284,2523,1
17284,1635,2
17284,932,3
17284,5221,4
17284,3433,5
8574,1397,1
8574,401,2
8574,522,3
8574,14880,4
8574,3213,5
16486,1243,1
16486,1100192,2
16486,5095,3
16486,15329,4
16486,83,5
20825,1202,1
20825,1249,2
20825,1252,3
20825,51,4
20825,932,5
23485,2518,1
23485,254,2
23485,932,3
23485,14780,4
23485,459,5
25256,1749,1
25256,2054,2
25256,15291,3
25256,1231,4
25256,1105766,5
15151,5439,1
15151,4811,2
15151,334,3
15151,1101209,4
15151,1107141,5
13778,5251,1
13778,1381,2
13778,14854,3
13778,1260,4
13778,5884,5
13777,251,1
13777,15604,2
13777,1142,3
13777,5934,4
13777,1243,5
16145,973,1
16145,1332,2
16145,6412,3
16145,1122,4
16145,16149,5
24723,1945,1
24723,932,2
24723,741,3
24723,15116,4
24723,5229,5
3083,14825,1
3083,1390,2
3083,1114842,3
3083,775,4
3083,1100036,5
4856,4334,1
4856,1101003,2
4856,1104404,3
4856,1113971,4
4856,1701,5
18549,1791,1
18549,1945,2
18549,5286,3
18549,15222,4
18549,1106844,5
19079,3280,1
19079,1100323,2
19079,2369,3
19079,1101068,4
19079,1107544,5
22492,114,1
22492,1104715,2
22492,331,3
22492,327,4
22492,483,5
22857,342,1
22857,15154,2
22857,2554,3
22857,579,4
22857,1100131,5
2983,1945,1
2983,2556,2
2983,5226,3
2983,932,4
2983,5300,5
18611,1231,1
18611,4592,2
18611,2054,3
18611,16010,4
18611,15947,5
25819,15224,1
25819,1100488,2
25819,2577,3
25819,1100490,4
25819,15274,5
29330,16268,1
29330,15711,2
29330,579,3
29330,15142,4
29330,6415,5
13783,5043,1
13783,5029,2
13783,15458,3
13783,579,4
13783,1326,5
27257,187,1
27257,15168,2
27257,4904,3
27257,561,4
27257,2577,5
27949,932,1
27949,1289,2
27949,741,3
27949,483,4
27949,1100126,5
36411,1105372,1
36411,932,2
36411,2524,3
36411,1104724,4
36411,14762,5
36389,260,1
36389,932,2
36389,4178,3
36389,5210,4
36389,741,5
33138,1100212,1
33138,1947,2
33138,5226,3
33138,14808,4
33138,932,5
33177,1945,1
33177,741,2
33177,1104597,3
33177,14808,4
33177,1946,5
37182,1104297,1
37182,1100688,2
37182,3020,3
37182,1104204,4
37182,4001,5
37772,14837,1
37772,775,2
37772,15935,3
37772,14826,4
37772,14872,5
37792,5229,1
37792,5223,2
37792,5922,3
37792,1105441,4
37792,1108619,5
55835,579,1
55835,15142,2
55835,1101161,3
55835,14786,4
55835,1100982,5
44711,16174,1
44711,6516,2
44711,1844,3
44711,5353,4
44711,4818,5
44391,1526,1
44391,1231,2
44391,874,3
44391,1033,4
44391,1701,5
46900,342,1
46900,365,2
46900,1701,3
46900,1041,4
46900,2742,5
56876,291,1
56876,932,2
56876,1104724,3
56876,5229,4
56876,1104715,5
57721,4070,1
57721,1259,2
57721,1326,3
57721,874,4
57721,1103680,5
52001,887,1
52001,6260,2
52001,1103462,3
52001,2481,4
52001,1100612,5
58890,291,1
58890,1104117,2
58890,204,3
58890,1321,4
58890,1102600,5
48676,525,1
48676,5364,2
48676,342,3
48676,2556,4
48676,15865,5
51181,15158,1
51181,579,2
51181,428,3
51181,15830,4
51181,1056,5
49775,4070,1
49775,5095,2
49775,444,3
49775,629,4
49775,1789,5
51115,1101504,1
51115,291,2
51115,1563,3
51115,3036,4
51115,1113799,5
36316,334,1
36316,1105766,2
36316,6665,3
36316,92,4
36316,1100943,5
36735,6412,1
36735,887,2
36735,685,3
36735,112,4
36735,1101111,5
2308,1397,1
2308,775,2
2308,14880,3
2308,1412,4
2308,5352,5
2785,2024,1
2785,2502,2
2785,15820,3
2785,16084,4
2785,1104597,5
2765,749,1
2765,2502,2
2765,741,3
2765,5205,4
2765,1102266,5
2748,1104438,1
2748,2709,2
2748,1041,3
2748,2373,4
2748,1286,5
2746,2502,1
2746,1381,2
2746,1442,3
2746,2556,4
2746,1195,5
2087,477,1
2087,775,2
2087,1103362,3
2087,4728,4
2087,1101061,5
16371,15266,1
16371,1331,2
16371,1114842,3
16371,1685,4
16371,1292,5
29193,1326,1
29193,342,2
29193,579,3
29193,14823,4
29193,1080,5
7823,207,1
7823,668,2
7823,169,3
7823,4758,4
7823,1157,5
26649,6665,1
26649,15368,2
26649,210,3
26649,1581,4
26649,4759,5
37053,3811,1
37053,13817,2
37053,4070,3
37053,1100556,4
37053,15390,5
36840,1105656,1
36840,116,2
36840,13817,3
36840,4070,4
36840,14899,5
36841,15918,1
36841,497,2
36841,342,3
36841,579,4
36841,14780,5
3645,2485,1
3645,331,2
3645,1100049,3
3645,1930,4
3645,1114842,5
3456,1199,1
3456,932,2
3456,1195,3
3456,1442,4
3456,14762,5
4987,685,1
4987,260,2
4987,932,3
4987,741,4
4987,483,5
4986,932,1
4986,741,2
4986,1388,3
4986,803,4
4986,749,5
4985,4730,1
4985,1103902,2
4985,1110345,3
4985,741,4
4985,1110338,5
4816,1289,1
4816,1092,2
4816,1114838,3
4816,3433,4
4816,2813,5
6540,41,1
6540,303,2
6540,14933,3
6540,6665,4
6540,1102044,5
12354,5226,1
12354,1945,2
12354,1635,3
12354,1104061,4
12354,1041,5
2075,1332,1
2075,4689,2
2075,1100982,3
2075,14825,4
2075,1685,5
4240,16321,1
4240,1945,2
4240,2497,3
4240,2504,4
4240,122,5
11970,1202,1
11970,1203,2
11970,4253,3
11970,1701,4
11970,1204,5
11758,522,1
11758,15601,2
11758,1103278,3
11758,3736,4
11758,691,5
18768,506,1
18768,14854,2
18768,887,3
18768,1104182,4
18768,169,5
1302,4689,1
1302,1259,2
1302,836,3
1302,1231,4
1302,65,5
1373,503,1
1373,3514,2
1373,1196,3
1373,20,4
1373,504,5
13504,15164,1
13504,15283,2
13504,14789,3
13504,1100036,4
13504,3339,5
8271,1056,1
8271,1296,2
8271,5095,3
8271,14835,4
8271,5307,5
8276,1945,1
8276,5226,2
8276,1104849,3
8276,932,4
8276,741,5
17279,685,1
17279,2534,2
17279,741,3
17279,932,4
17279,260,5
2597,1243,1
2597,376,2
2597,1259,3
2597,1708,4
2597,5902,5
63630,5562,1
63630,395,2
63630,1215,3
63630,6373,4
63630,1108668,5
12338,1685,1
12338,312,2
12338,1312,3
12338,1332,4
12338,2648,5
36293,522,1
36293,14880,2
36293,1933,3
36293,1397,4
36293,785,5
36011,5006,1
36011,1259,2
36011,1296,3
36011,1231,4
36011,14829,5
36994,2556,1
36994,5364,2
36994,954,3
36994,1442,4
36994,1118254,5
36742,1945,1
36742,2556,2
36742,5226,3
36742,932,4
36742,5300,5
37514,685,1
37514,15087,2
37514,16071,3
37514,2534,4
37514,331,5
9376,1100551,1
9376,1113896,2
9376,6447,3
9376,1231,4
9376,5288,5
9009,283,1
9009,1181,2
9009,1381,3
9009,210,4
9009,668,5
8724,724,1
8724,187,2
8724,4904,3
8724,283,4
8724,4186,5
38116,1354,1
38116,1104440,2
38116,1116,3
38116,1298,4
38116,4003,5
38190,5043,1
38190,887,2
38190,1563,3
38190,15342,4
38190,1381,5
38256,1106,1
38256,4811,2
38256,1102316,3
38256,1248,4
38256,1298,5
38068,3222,1
38068,1103372,2
38068,5439,3
38068,1103166,4
38068,4528,5
5183,1685,1
5183,10,2
5183,1332,3
5183,1410,4
5183,2498,5
5153,3514,1
5153,1103304,2
5153,1104440,3
5153,1100699,4
5153,331,5
