query,count,#docs
retenção e contrato e administrativo e trabalhista,6,6
restrição e competitividade,6,138
servidor e deficiencia e aposentadoria ,6,9
vincula$ e parecer$,6,41
credenciamento e aquisição,6,5
"""novo e improrrogável prazo para o recolhimento""",6,22
valor estimado  e sobrepreço,6,2
"""lei de acesso a informação""",6,18
plano de cargos e salários,6,22
empresa e solidária,6,54
contrato e duração,6,18
privado e interesse e representação ,6,13
prescrição e contas,6,39
prescrição e mérito,6,4
gestor e fiscal de contratos,6,12
gestor e discricionariedade,6,49
sobrestamento e prescrição,6,4
mobilização e desmobilização,6,19
concurso e inscrições,6,17
tipo técnica e preço,6,39
falha e projeto e responsabilidade,6,21
representante e parte,6,49
atestado e similar e objeto,6,4
sindicato e encargos sociais,6,1
desconsideração e personalidade e jurídica,6,102
fundo a fundo,6,329
consorcio e licitação,6,39
regularidade fiscal e trabalhista,6,22
parecer e licitação,6,64
prescrição e intercorrente,6,8
"sistema s e ""processo seletivo""",6,19
fraude e licitação,6,175
conselho$ e fiscalização,6,206
parcelamento e objeto,6,109
"pregoeiro e ""pesquisa de preço""",6,4
vínculo e licitação,6,60
aproveitamento candidatos e concurso público,6,11
prorrogação de contrato e valor ,6,13
sinapi e sicro,6,30
qualificação técnica e profissionais,6,117
"""tecnica e preço""",6,98
acesso a informação,6,115
locação e imóvel e avaliação,6,2
reequilibrio econômico  e contrato,6,45
habilitação e documentos,6,54
aberto e fechado,6,2
de impedimento de licitar e contratar,6,10
prazo de vigência e prazo de execução,6,13
licitação e inexequibilidade e comprovação,6,25
vale-alimentação e licitação,6,23
contratação e direta,6,199
o reconhecimento da prescrição da pretensão punitiva do tcu atinge apenas as sanções previstas na lei 8.443/1992,5,4
simples  e nacional,5,48
"""matriz"" e ""riscos""",5,10
admissão e registro e decisão e judicial,5,28
segregação de função e licitação,5,10
licitação e participação,5,256
licitação e contratos,5,615
notória e especialização,5,39
diligência e licitação,5,45
licitação e contrato,5,615
serviço não continuado e pesquisa de preço,5,29
prescrição e objetiva,5,5
* e erro grosseiro,5,69
licitação e competitividade ,5,295
iso e licitação e informática e licitação,5,6
remanescente  e obra,5,12
inviabilidade e competição,5,52
lotes e aditivo,5,1
indícios e convergentes,5,6
prorrogação e aérea,5,3
inabilitação para o exercício,5,81
espólio e contraditório,5,5
modificação e forma  e  pagamento,5,4
responsabilidade  e subjetiva,5,40
estágio e tempo de serviço,5,15
registro de preço e obra,5,9
maior relevância e valor significativo,5,19
reajuste  e orçamento  e proposta,5,7
manutenção e corretiva,5,6
marca e modelo,5,3
alteração e local e obra,5,5
"""erro grosseiro"" e ""lei de introdução às normas do direito brasileiro""",5,33
proporcionalidade e multa,5,16
fiscal do contrato e responsabilização,5,8
formalismo  e  moderado,5,24
fundação de apoio e conta única,5,18
engenharia e projeto e execução,5,21
"""inexigibilidade"" e ""licitação""",5,201
enfrentar e argumentos,5,4
princípio e vinculação e instrumento e convocatório,5,32
intenção e recurso,5,41
embargos de declaração e rediscussão,5,15
reajuste e anual,5,8
revisão e aposentadoria,5,43
multa e débito,5,288
inscrição em restos a pagar,5,7
empenho e obra,5,1
restrição a competitividade ,5,135
inexigibilidade e subcontratação,5,1
prorrogação e inexigibilidade,5,4
inexigibilidade e exclusividade,5,59
inexigibilidade e cursos,5,4
"""desvio"" e ""saúde"" e ""união"" e ""estado""",5,2
responsável técnico  e contrato de prestação de serviço,5,11
inexigibilidade e curso,5,4
inexigibilidade e congresso,5,129
inexigibilidade e capacitação,5,2
alteração e contrato e administrativo,5,110
167 e vi,5,3
boa-fé e presunção,5,25
planilha e serviço,5,92
vedação a participação,5,95
critério de julgamento técnica e preço,5,20
bdi e desclassificação,5,2
"""bens e serviços comuns""",5,27
superfaturamento e dano,5,42
atestado e capacidade e operacional,5,52
planilha e diligência,5,4
superfaturamento  e mercado,5,85
planilha e erro,5,8
convalidação e contrato,5,5
taxa e administração,5,56
atest$ e grave,5,13
consórcio e qualificação técnica,5,1
boa-fé e pessoa jurídica,5,32
" o atestado de capacidade técnica tem natureza declaratória, e não constitutiva de uma condição preexistente.",5,1
subcontratação e vedação e contrato,5,21
parecer$ e técnico$,5,108
prescriçao e 2022,5,27
"omissão e ""prestação de contas""",5,105
pensão e paridade,5,29
capacidade técnico profissional e ,5,63
culpa e dolo e negligência,5,3
conluio e fraude,5,24
vedação a cooperativas,5,13
amostra e obriga$,5,3
pensão e aposentadoria,5,241
credenciamento e inexigibilidade,5,25
tecnica e preço ,5,184
prescr$ e (ressar$ ou dano),5,37
atestados e lei,5,100
atesto  e pagamento,5,11
"""cargo em comissão"" e ""gratificação""",5,36
contratada e superfaturamento,5,59
ato de admissão e contraditório,5,9
ato e gestão e competência,5,39
pessoas jurídicas e multa e 58,5,27
contas ordinárias e responsável e multa,5,45
pregão e orçamento,5,23
contas e prescrição,5,37
competência e recursos e municipais,5,86
audiência e pública e licitação,5,15
contas e iliquidáveis,5,43
ana arraes e saúde,5,13
compensação entre acréscimos e supressões,5,28
registro e preço e dotação e orçamentária,4,2
art. e 24 e lindb,4,3
fundef e honorarios,4,5
concurso público e instituição e dispensa,4,9
proposta mais vantajosa para a administração,4,36
global  e unitário,4,101
treinamento e aperfeiçoamento de pessoal,4,2
registro de preços e lote,4,13
regularidade e fiscal e convênio,4,12
"""fase interna"" e ""citação""",4,24
acréscimo e aditivo,4,59
""" taxa de administração"" e convênios ",4,11
competência e gestão,4,147
fundo e partidário,4,22
*agente e político,4,53
""" impedimento de contratar com a administração""",4,10
"maior complexidade, relevância e valor significativo",4,4
composição e preços,4,63
concessão e licitante,4,6
gestor e fiscal,4,36
"""é irregular a incidência do reajuste autorizado pela lei""",4,7
transferidos fundo a fundo,4,53
exterior e licitação,4,8
prefeitura e município,4,33
filha maior e pensão,4,103
consórcio e responsabilidade,4,11
desclassificação e exequibilidade,4,16
conta e vinculada,4,24
acumulação e pessoal e aposentadoria,4,132
"""acumulação ilegal"" e ""apresentar opção no prazo improrrogável""",4,2
transferencia legal e competencia do tcu,4,36
contraditório e ampla,4,284
ar condicionado e serviço de instalação,4,2
estimado e quantidade estimada,4,8
aquisição de bens e contratação de serviços,4,21
"""em todo o território nacional""",4,6
pregão e comum,4,94
representante e interessado,4,31
filha maior solteira divorciada tem direito a pensão,4,3
consórcio e máximo,4,4
consórcio e licitação,4,39
fiscal de contrato e fiscal de contrato,4,122
repactuação e prazo ,4,8
fiscalização e competência e conjunta,4,3
fiscalização e contrato,4,151
microempresa e empate,4,7
"""parcelamento"" e ""terceirização""",4,1
registro de preços e adesão,4,43
acréscimos e supressões de contratos administrativos,4,37
"""essencial""  e ""contrato""",4,16
parentesco e licitação,4,30
"""estagio probatorio"" e servidor e ""aposentadoria por invalidez"" e preexistente",4,1
acréscimo superior a 25%,4,1
trancamento e contas,4,25
acordo e coletivo e conselho e profissional,4,5
"""incorporação"" e ""tempo residual""",4,14
"""recurso"" e ""prazo""",4,72
prorrogação e vigência,4,40
ausência e pressupostos e constituição e desenvolvimento e válido,4,11
atestado e cat,4,7
juros e multa,4,14
"""maior desconto"" e ""por lote""",4,2
licitação e objeto social,4,29
ramo e atividade e licitação,4,5
 contrato  e publicidade,4,51
guarnição e especial,4,2
vista a advogado,4,7
vinculação e edital,4,28
prorrogação e serviços continuos,4,61
inidoneidade e sócio,4,24
"""licitação"" e ""apresentação"" e ""propostas""",4,87
benefícios e despesas indiretas,4,10
lei de acesso a informação,4,35
"""regularidade fiscal e trabalhista""",4,1
atestado e informações,4,8
quantitativo e aditivo,4,44
licitação e inexigibilidade e serviços técnicos e requisitos,4,7
"é permitida a acumulação de uma pensão militar com os proventos de disponibilidade, reforma, vencimentos, aposentadoria ou pensão civil",4,3
atestado e maior relevância,4,8
publicidade e contrato,4,50
qualificação técnica e 50%,4,17
óbito do responsável após a citação,4,38
licitação e atestado e entidade profissional,4,9
licitação e falsa declaração e microempresa,4,13
licitação e desclassificação,4,100
licitação e desclassificação por inexequibilidade,4,24
licitação e diligência,4,42
licitação e direcionamento,4,24
"“é imprescindível o exame do conteúdo de recurso administrativo intentado em desfavor de processo licitatório, sendo o responsável que desconsidera os argumentos apresentados sujeito às sanções requeridas.”",4,1
"""registro de preços"" e ""dotação orçamentária""",4,2
licitação e qualificação técnica e limitação e época,4,1
permanente e benefício,4,19
recurso e prescrição,4,31
técnica e preço consultoria,4,2
habilitação e qualificação e econômica,4,35
"""garantia"" e ""proposta""",4,43
locação e veículo,4,6
acesso a dados sigilosos,4,4
horas e extras,4,27
compensação e débito,4,17
limites e alterações e quantitativos e contrato,4,14
imóvel e terceiro,4,7
*guarnição e especial,4,2
coisa  e julgada e administrativa,4,44
apuração disciplinar  e competência do tcu,4,7
cessão e uso e imóvel,4,9
certidão e tempo e contribuição e contagem e recíproca,4,4
recurso e objeto e perda e mérito,4,3
prorrogação e formalização e termo e aditivo,4,4
vantajosidade e prorrogação,4,7
inexigi$ e singular,4,20
inexigibilidade  e economicidade,4,4
recurso e admissibilidade,4,219
licitação e vale transporte,4,2
inexigibilidade e advocatício,4,22
"a omissão, na prestação de contas, de documentos essenciais à comprovação da boa e regular gestão dos recursos federais recebidos por meio de convênio constitui grave inobservância do dever de cuidado no trato com a coisa pública",4,1
vedação compensação de acréscimos e supressões,4,20
recolhimento e débito,4,107
recibo e fatura,4,1
"""iso"" e ""qualificação""",4,7
prorrogação e escopo,4,1
capacidade técnica e somatório,4,11
inexigibilidade e natureza e singular e notória  e especialização ,4,11
responsabilidade e fiscal,4,145
sentença penal e prescrição,4,1
preço e tecnica,4,186
multa e ente,4,27
cotação ou preços valor médio ou mediano e obra ou engenharia,4,5
correção monetária e juros,4,51
obra e pregão,4,36
subcontratação e habilitação,4,4
embargos de declaração e despacho,4,3
correção e erro,4,42
"""variação cambial"" e ""reequilíbrio econômico""",4,7
prescricao e citacao,4,17
suspensão e abrangência,4,33
embargos e efeito modificativo,4,20
aditivo e apostilamento,4,1
embargos e erro e fato,4,20
embargos e omissão,4,119
aditivo e engenharia,4,26
dano e mercado,4,24
convênio e prestação e contas e nota fiscal e recibo,4,15
emergencial e contratação,4,35
emergência e administração pública,4,25
suspensão temporária de participação em licitação e o impedimento de contratar com um órgão da administração,4,7
"""último pagamento"" e ""superfaturamento""",4,43
"""contraditório e ampla defesa""",4,13
agravo e cautelar,4,34
preço e vantajoso e quantitativo,4,3
prescrição e cinco,4,8
"""prorrogação"" e ""serviço continuado""",4,64
aditivo  e  contrato  e manutenção,4,34
efeito suspensivo e cautelar,4,23
crea e cau,4,2
convênio e funcionamento,4,1
cálculo e proventos e aposentadoria e média e proporcional,4,8
dispensa e prorrogação,4,15
"""contratação de pessoal"" e ""sistema s""",4,28
"custo unitário e ""despesas indiretas""",4,8
dispensa e licitação,4,284
admissibilidade e mérito,4,63
diária e passagens,4,21
nulidade e advogado,4,34
diárias e comprovação e certificado,4,2
admissão e decisão e judicial,4,27
custo e mercado,4,76
documento novo e revisão,4,42
* e delegação,4,74
cronograma e obras,4,32
salários e pesquisa de preço ,4,5
prescrição e tomada,4,15
"""contrato administrativo""  e ""paralisação""",4,14
dispensa  e licitação e contrato e emergencial ,4,13
não se admite a transferencia do acervo técnico da pessoa,4,3
edital e publicação,4,27
sanção contra a administração,4,115
"""conselho"" e ""cargo em comissão""",4,11
"""economicidade"" e ""sobrepreço"" ",4,6
multa e litig$ e (má-fé ou má fé),4,7
credenciamento e contrato,4,2
agente e político,4,53
serviço extraordinário  e ,4,21
prescrição e pessoal,4,25
dispensa e licitação e limite e natureza e despesa,4,2
aposentadoria e acumulação,4,134
demonstrar a exequibilidade,4,10
"""preço estimado"" e ""preço máximo""",4,10
"""aquisição"" e ""instalação"" ",4,4
singularidade e inexigibilidade ,4,49
adesão e registro de preços,4,43
alegações   e defesa,4,57
desoneração e benefício legal  e repassado ao contrato,4,1
alteração contratual e justificativa,4,9
prescrição e matéria de ordem pública,4,4
adesão e ata e registro e preços,4,43
ente federado e multa,4,19
descumprimento e determinação,4,61
contrato e guarda-chuva,4,2
equilibrio e economico e financeiro,4,114
despacho e interrupção  e prescrição,4,6
prescrição e contas ordinárias,4,11
contrato e escopo,4,6
sistema e s e controle,4,22
"""prestação de contas"" e concedente",4,53
pregão e planilha,4,7
pagamento e certidão,4,8
desconsideração e colegiado,4,12
objetiva e prescrição,4,5
sobrepreço e item,4,24
pregão e eletrônico,4,120
responsabilidade e município,4,198
alteração e pagamento,4,34
princípio da razoabilidade e débito,4,8
aposentadoria e média,4,58
prescrição e ordem pública,4,4
pregão eletrônico e serviços de manutenção,4,5
convênio e contrapartida,4,69
de publicidade e propaganda,4,39
"ressarcimento e ""erro operacional""",4,7
restos a pagar ,4,17
declaração  e falsa,4,46
omissão e citação,4,25
"""qualificação tecnico-profissional"" e atestado e licitante ou propornente",4,75
pagamento antecipado e possibilidade,4,1
"""art. 25, i""",4,1
resposta a impugnação ,4,2
prescrição e cinco e anos,4,10
empresa brasileira de correios e telégrafos,4,3
alocação e riscos,4,3
"""art. 184"" e ""não ocupante da última classe""",4,1
"licitação e recurso e ""efeito suspensivo""",3,1
obras e fiscalização,3,106
pesquisa e mercado,3,66
obra e alterações,3,42
licitação e obra e acervo e capacidade  e técnica,3,2
objeto e discricionariedade,3,13
pesquisa de preços e fornecedores,3,36
*pensão e reforma,3,97
objeto e clareza,3,1
licitação e objeto e único,3,37
licitação e requisitos de qualificação,3,79
o sobrestamento de processo,3,30
nova lei de licitações e 14.133/2021,3,4
pessoa e fisica e contratacao,3,6
o teto constitucional art 37,3,67
pesquisa junto a fornecedores,3,17
pis e cofins,3,5
licitação e homologação ,3,50
licitação e princípios,3,391
"""resolução"" e ""prescrição""",3,20
licitação e prorrogação e contrato,3,43
licitação e isonomia,3,82
licitação e petrobras,3,20
licitação e habilitação e qualificação e profissionais,3,32
obra e vício,3,21
13º salário e base de cálculo,3,1
pesquisa e preço e obra,3,16
obra e aditivo,3,61
"""é ilegal a contratação, mediante a dispensa de licitação prevista""",3,2
licitação e qualificação técnica,3,399
número e processo,3,27
pesquisa e preços ,3,94
licitação e indice e liquidez,3,8
nulidade e contraditório,3,22
modo de disputa aberto e fechado,3,1
pensão civil  e duas uniões estáveis,3,8
pequeno porte e vantagem e inidoneidade,3,7
"""termo de referência"" ""se for o caso""",3,3
* e prescrição,3,161
parcelas indevidas e suspensão,3,6
"parceria público e privada e ""pregão""",3,2
parecer e art. 38,3,27
multa  e particular ,3,4
micro e pequenas empresas,3,3
parecer jurídico e vinculação,3,13
"""sistema s"" e princípio$",3,80
medições serviços de engenharia e profissional,3,1
padronização e marca,3,9
"ou seja, para o cálculo do primeiro reajuste",3,34
oportunidade e conveniência,3,39
medição e pagamento,3,61
paridade e pensão por morte,3,6
multa e acumulação,3,66
pagamento de juros e correção monetária,3,13
"""termo aditivo"" e ""13.303/2016""",3,1
licitação e exigência e licença ambiental,3,9
"""terceiros"" e gestão",3,48
pagamento e contrato e administrativo e retenção,3,24
pagamento e cheque e prefeitura,3,3
pagamento em espécie e convenio,3,15
pandemia  e covid,3,8
monitoramento e descumprimento,3,3
montepio e teto,3,6
modifica$ e extintiv$,3,2
* e recebimento definitivo,3,8
motivação e recurso,3,26
pagamento e atraso,3,14
* e servicos de engenharia,3,618
minimo constitucional restos a pagar,3,1
"""terceiros"" e dano",3,61
* e sistema s,3,189
microempresa e empresa de pequeno porte,3,59
parte interessada e 146,3,4
multa e contas,3,265
"""técnica e preço"" planejamento",3,4
patrocínio e sistema s,3,4
licitação técnica e preço ponderação ,3,30
multa e pessoa jurídica,3,33
pensão e especial e ex-combatente,3,67
pensão e militar e inss,3,9
licitação limites microempresa e empresa de pequeno porte,3,12
* e documentação com firma reconhecida em cartório,3,2
município e responsabilidade e débito,3,91
máquina e qualificação,3,3
obras e recurso e fgts e tcu,3,2
*liquidação e liquidação da despesa,3,78
"licitação e súmula ""473""",3,1
licitação e sanção e suspensão e temporária e impedimento,3,28
* e contraditório,3,282
notificação e portaria,3,1
"""restrição à competitividade"" e informática",3,2
multa e litig$ e má-fé,3,7
pensão e acumulação,3,73
penalidade de suspensão e administração publica,3,8
longo e ampla e defesa,3,37
"omissão e ""dever de prestar contas""",3,159
manutenção e bens,3,33
multa e descumprimento,3,74
* e inexig*,3,209
obrigação de dar e fazer,3,4
obras públicas e gestão,3,11
logomarca e governo e evento,3,1
"""serviço de engenharia"" e pregão",3,36
pccs e pensão e sentença,3,2
locação e imoveis,3,23
pedido de prorrogação de prazo e alegações de defesa,3,3
litigância e ma-fé,3,9
"""serviço social autonomo"" e ""contabilidade pública""",3,1
limite e multa,3,32
militar e professor,3,4
  certificado de boas práticas de fabricação e controle (cbpf),3,3
licitação e direcionamento objeto ,3,3
diligência e habilitação técnica,3,3
convênio e vigência,3,56
convênio e ressar$,3,64
convênio e responsabilização e contratado,3,14
convênio e prorrogação,3,1
aplicação de penalidade a licitante,3,23
aplicável a declaração de inidoneidade,3,6
apoio a fiscalização,3,5
convênio e ong,3,11
convênio e contrapartida não prevista,3,61
aposentadoria e celetista,3,61
convocação e remanescente,3,3
aposentadoria e deficiência e calculo e media,3,1
convenção e coletiva e reequilíbrio,3,1
aposentadoria e independência,3,10
convenio e reembolso,3,1
convenio desvio de objeto e finalidade,3,51
contribuição previdenciária sobre a receita bruta,3,1
contratos  e administrativos e certidão e negativa,3,3
contrato emergencial e prorrogação e exceção,3,2
contrato e vigência ,3,75
contrato e pagamento e enriquecimento,3,3
contrato e nulidade,3,12
contrato e exclusividade,3,41
contrato e desconto e quantitativo,3,9
aposentadoria e servidor e público e federal e rpps ,3,18
aposentadoria e tema e 445,3,8
contrato  e gestão,3,104
apostilamento e aditivo,3,1
contratação emergencial serviço e ,3,12
convênios e responsabilidade,3,801
credenciamento e saúde,3,3
culpa e dolo,3,69
alteração e qualitativa,3,14
dez e anos e ampla e defesa e antes,3,22
dez anos e arquivamento,3,10
deve-se fixar novo e improrrogável prazo,3,9
determinação e multa e descumprimento e art. 58 e monitoramento ,3,1
desvio de função e terceirização,3,4
desvio de finalidade e ente federado,3,19
desvio de finalidade e convênio,3,99
alteração  e fato  e superveniente,3,13
desenvolvimento e software,3,16
descumprimento de decisão e multa,3,6
alteração e aposentadoria,3,54
alteração e contrato e limite ,3,36
desconsideração da personalidade jurídica e penalidade,3,5
deposito e garantia,3,1
cálculo e proventos,3,140
dependencia e economica e pensao,3,153
denunciante e parte,3,20
delegação e lei,3,20
deficiência e projeto básico ,3,10
deficiência e projeto básico,3,10
declaração e  microempresa,3,36
debito e fiscal,3,24
dano e obra,3,60
dano e empresa,3,117
dano ao erário e multa,3,77
dano ao erário e licitação,3,42
ampla defesa e contraditório,3,263
ampla defesa e lapso,3,45
contratação e verbal ,3,4
contratação e vantajosidade,3,8
contratação e emergencial,3,35
benefício e especial,3,69
certificação e qualificação,3,42
certidão e negativa e diligências,3,1
certidão de falência e concordata,3,1
carona e ata e registro de preço ,3,42
cargos em comissão e atribuições,3,11
cargo em comissão e cargo efetivo,3,83
capacidade técnico-operacional  e registro,3,4
capacidade técnica e prazo,3,22
capacidade tecnica e operacional,3,98
cancelamento de restos a pagar,3,3
cadin e tce,3,7
boa-fé e ente federado,3,5
bis in idem e improbidade,3,5
bdi e propostas,3,23
chuva e obra,3,13
atestado e capacidade e objeto,3,58
atestado e capacidade e parcela,3,6
bdi e edital,3,22
balanço patrimonial e demonstrações contábeis ,3,6
balanço e patrimonial e registro,3,4
balanço e patrimonial,3,11
atestado e capacidade técnica,3,154
avaliação e bens e imóveis e união,3,2
ausência e cláusula e reajustamento ,3,1
atestado e inabilitação,3,1
"ato ilegal, ilegitimo e antieconômico",3,5
"ato ilegal, ilegitimo e antieconomico",3,5
atestação a maior,3,1
cessão e uso e onerosa,3,2
chuva ou pluviométrico e obra,3,13
contratação de pessoal e sistema s,3,8
conselhos e processo,3,17
contratação de obras e projeto,3,42
contratação de bens e serviços de tecnologia da informação,3,24
contratação  e sem  e justificativa,3,15
contrapartida e contrapartida convênio,3,68
contradição e embargos,3,107
contraditório e licitante,3,5
"contraditório e ""ampla defesa"" ",3,260
consórcio e possibilidade e competitividade,3,1
consulta e caso e concreto,3,18
constitui poder dever da administração a tentativa de negociação,3,2
consorcio  e substituição de empresas,3,2
art. 28 e taxativo,3,7
conselhos profissionais e licitação,3,65
conselho e profissional e autarquia e acumulação,3,2
citação  e  contraditório,3,54
conselho e parecer,3,23
conduta omissiva e audiência,3,1
"art. 57, inciso i",3,10
concessão e pregão,3,6
art. e 22 e lindb,3,11
artista e cachê,3,23
artista e consagrado,3,51
competência e concedente,3,52
compensações de itens com sobrepreço e itens com subpreço ,3,2
combustível e manutenção,3,1
assinatura e contrato,3,46
coelho e concorrencia,3,1
citação e nulidade,3,36
diaria e renúncia,3,1
diligência e proposta e desclassificação,3,15
"192, inciso i",3,22
direcionamento e licitação,3,24
inexigibilidade e curso e capacitação,3,2
inexigibilidade e advogado,3,1
inexigibilidade de licitação e serviço tecnico,3,50
inexigibilidade de licitação  e singularidade,3,49
inexigibilidade  e ti,3,205
induzir a erro,3,10
indicação e convenção,3,39
incorporação e fusão e cisão,3,6
inatividade e militar,3,54
inaplicabilidade e licitação e estatal,3,1
inabilitação e multa,3,17
inabilitação e licitação,3,34
impedimento e sanção,3,44
impedimento de licitar e estatal,3,1
identificar e responsaveis e multas e transito e ressarcimento e erário,3,1
hierarquia e disciplina,3,1
herdeiros e contraditório,3,12
habilitação e técnica e consórcio,3,2
habilitação e rol e taxativo,3,12
habilitação e restrição,3,43
acordos de leniência e pagamento,3,3
gestão e fiscalização de contratos,3,11
gestão  e convênio,3,119
gestor não pagou o débito ,3,271
gestor e pnate,3,3
gestor de contratos e despesa,3,10
gats e tempo de oab,3,1
garantia e proposta,3,43
garantia e pregão ,3,3
inexigibilidade e fornecedor exclusivo,3,25
inexigibilidade e justificativa,3,24
inexigibilidade e justificativa e preço,3,17
judiciário e decisão e vincula,3,11
"25, i",3,43
licitação deserta e fracassada,3,2
licitação deserta e contratação direta,3,4
licitação  e parentesco,3,30
licitação  e convênio,3,115
licitaçoes e contratos,3,604
"licitante e ""quadro permanente"" e responsável técnico",3,6
licitacao e qualificacao e responsabilidade,3,19
"licença-prêmio e ""contagem em dobro""",3,24
6º e prazo,3,11
legalidade e isonomia ,3,18
legalidade e isonomia,3,18
justificativa e justificativa em licitação,3,361
jogo e planilha,3,26
a indicação de marca,3,18
jazida e sicro,3,1
itens e lotes,3,27
a contagem da prescrição da pretensão punitiva,3,32
interesse privado e interesse subjetivo,3,12
interessado e aposentadoria,3,64
a data-limite para apresentação da proposta ,3,6
"a decisão do gestor que desconsidera, sem a devida motivação, parecer da consultoria jurídica do órgão ou da entidade que dirige",3,2
"inscrição ou registro crea e ""cau""",3,2
inidoneidade e prejuízo,3,9
inidoneidade e direcionamento ,3,3
informática e pregão,3,29
inexigibilidade e software e manutenção,3,3
inexigibilidade e requisitos,3,33
garantia a execução,3,21
fusão e cisão e incorporação,3,6
fundo de manutenção e desenvolvimento do,3,8
"débito e ""regulares com ressalva""",3,14
empate e microempresa,3,7
emergência e dispensa,3,64
aditivo e 25%,3,5
