ID,TEXT,SOURCE,1,2,3,4,5,6,7,8,9,10
11,bens e serviços comuns,search log,bens e serviços comuns - Serviços comuns de engenharia,"bens e serviços comuns - Serviços comuns de engenharia, Obras e serviços de engenharia","bens e serviços comuns - Serviços comuns de engenharia, Obras e serviços de engenharia, Bens de consumo","bens e serviços comuns - Serviços comuns de engenharia, Obras e serviços de engenharia, Bens de consumo, Pregão","bens e serviços comuns - Serviços comuns de engenharia, Obras e serviços de engenharia, Bens de consumo, Pregão, Prestação de serviço","bens e serviços comuns - Serviços comuns de engenharia, Obras e serviços de engenharia, Bens de consumo, Pregão, Prestação de serviço, Serviços especiais de engenharia","bens e serviços comuns - Serviços comuns de engenharia, Obras e serviços de engenharia, Bens de consumo, Pregão, Prestação de serviço, Serviços especiais de engenharia","bens e serviços comuns - Serviços comuns de engenharia, Obras e serviços de engenharia, Bens de consumo, Pregão, Prestação de serviço, Serviços especiais de engenharia","bens e serviços comuns - Serviços comuns de engenharia, Obras e serviços de engenharia, Bens de consumo, Pregão, Prestação de serviço, Serviços especiais de engenharia","bens e serviços comuns - Serviços comuns de engenharia, Obras e serviços de engenharia, Bens de consumo, Pregão, Prestação de serviço, Serviços especiais de engenharia"
12,parcelas de maior relevância e valor significativo,search log,parcelas de maior relevância e valor significativo - Parcela de maior relevância,"parcelas de maior relevância e valor significativo - Parcela de maior relevância, Validade","parcelas de maior relevância e valor significativo - Parcela de maior relevância, Validade, Valor público","parcelas de maior relevância e valor significativo - Parcela de maior relevância, Validade, Valor público, Valoração","parcelas de maior relevância e valor significativo - Parcela de maior relevância, Validade, Valor público, Valoração, Objeto da licitação","parcelas de maior relevância e valor significativo - Parcela de maior relevância, Validade, Valor público, Valoração, Objeto da licitação, Priorização","parcelas de maior relevância e valor significativo - Parcela de maior relevância, Validade, Valor público, Valoração, Objeto da licitação, Priorização, Valor jurídico","parcelas de maior relevância e valor significativo - Parcela de maior relevância, Validade, Valor público, Valoração, Objeto da licitação, Priorização, Valor jurídico, Preço máximo","parcelas de maior relevância e valor significativo - Parcela de maior relevância, Validade, Valor público, Valoração, Objeto da licitação, Priorização, Valor jurídico, Preço máximo","parcelas de maior relevância e valor significativo - Parcela de maior relevância, Validade, Valor público, Valoração, Objeto da licitação, Priorização, Valor jurídico, Preço máximo"
13,despesa sem cobertura contratual,search log,despesa sem cobertura contratual - Garantia contratual,"despesa sem cobertura contratual - Garantia contratual, Custo não renovável","despesa sem cobertura contratual - Garantia contratual, Custo não renovável, Gestão contratual","despesa sem cobertura contratual - Garantia contratual, Custo não renovável, Gestão contratual, Despesa sem prévio empenho","despesa sem cobertura contratual - Garantia contratual, Custo não renovável, Gestão contratual, Despesa sem prévio empenho, Carta contrato","despesa sem cobertura contratual - Garantia contratual, Custo não renovável, Gestão contratual, Despesa sem prévio empenho, Carta contrato, Plano de saúde","despesa sem cobertura contratual - Garantia contratual, Custo não renovável, Gestão contratual, Despesa sem prévio empenho, Carta contrato, Plano de saúde, Liquidação da despesa","despesa sem cobertura contratual - Garantia contratual, Custo não renovável, Gestão contratual, Despesa sem prévio empenho, Carta contrato, Plano de saúde, Liquidação da despesa, Cobertura (Obra pública)","despesa sem cobertura contratual - Garantia contratual, Custo não renovável, Gestão contratual, Despesa sem prévio empenho, Carta contrato, Plano de saúde, Liquidação da despesa, Cobertura (Obra pública), Contrapartida","despesa sem cobertura contratual - Garantia contratual, Custo não renovável, Gestão contratual, Despesa sem prévio empenho, Carta contrato, Plano de saúde, Liquidação da despesa, Cobertura (Obra pública), Contrapartida"
14,decreto-lei 4.657/1942,search log,decreto-lei 4.657/1942 - Legislação,"decreto-lei 4.657/1942 - Legislação, Decreto","decreto-lei 4.657/1942 - Legislação, Decreto, CLT","decreto-lei 4.657/1942 - Legislação, Decreto, CLT, Empresa de trabalho temporário","decreto-lei 4.657/1942 - Legislação, Decreto, CLT, Empresa de trabalho temporário, Lei de Introdução às Normas do Direito Brasileiro","decreto-lei 4.657/1942 - Legislação, Decreto, CLT, Empresa de trabalho temporário, Lei de Introdução às Normas do Direito Brasileiro, Fundo Nacional de Saúde","decreto-lei 4.657/1942 - Legislação, Decreto, CLT, Empresa de trabalho temporário, Lei de Introdução às Normas do Direito Brasileiro, Fundo Nacional de Saúde, Renda familiar","decreto-lei 4.657/1942 - Legislação, Decreto, CLT, Empresa de trabalho temporário, Lei de Introdução às Normas do Direito Brasileiro, Fundo Nacional de Saúde, Renda familiar, Reforma (Direito)","decreto-lei 4.657/1942 - Legislação, Decreto, CLT, Empresa de trabalho temporário, Lei de Introdução às Normas do Direito Brasileiro, Fundo Nacional de Saúde, Renda familiar, Reforma (Direito), ISS","decreto-lei 4.657/1942 - Legislação, Decreto, CLT, Empresa de trabalho temporário, Lei de Introdução às Normas do Direito Brasileiro, Fundo Nacional de Saúde, Renda familiar, Reforma (Direito), ISS, FNDE"
15,contas e materialidade,search log,contas e materialidade - Materialidade específica,"contas e materialidade - Materialidade específica, Materialidade global","contas e materialidade - Materialidade específica, Materialidade global, Contas ordinárias","contas e materialidade - Materialidade específica, Materialidade global, Contas ordinárias, Materialidade para execução da auditoria","contas e materialidade - Materialidade específica, Materialidade global, Contas ordinárias, Materialidade para execução da auditoria, Conta contábil","contas e materialidade - Materialidade específica, Materialidade global, Contas ordinárias, Materialidade para execução da auditoria, Conta contábil, Contabilidade","contas e materialidade - Materialidade específica, Materialidade global, Contas ordinárias, Materialidade para execução da auditoria, Conta contábil, Contabilidade, Contabilização","contas e materialidade - Materialidade específica, Materialidade global, Contas ordinárias, Materialidade para execução da auditoria, Conta contábil, Contabilidade, Contabilização, Administração de material","contas e materialidade - Materialidade específica, Materialidade global, Contas ordinárias, Materialidade para execução da auditoria, Conta contábil, Contabilidade, Contabilização, Administração de material","contas e materialidade - Materialidade específica, Materialidade global, Contas ordinárias, Materialidade para execução da auditoria, Conta contábil, Contabilidade, Contabilização, Administração de material"
16,inexequibilidade e comprovação,search log,inexequibilidade e comprovação - Descumprimento,"inexequibilidade e comprovação - Descumprimento, Crime impossível","inexequibilidade e comprovação - Descumprimento, Crime impossível, Inexecução das obrigações","inexequibilidade e comprovação - Descumprimento, Crime impossível, Inexecução das obrigações, Comprovante de votação","inexequibilidade e comprovação - Descumprimento, Crime impossível, Inexecução das obrigações, Comprovante de votação, Fato inexistente","inexequibilidade e comprovação - Descumprimento, Crime impossível, Inexecução das obrigações, Comprovante de votação, Fato inexistente, Recibo","inexequibilidade e comprovação - Descumprimento, Crime impossível, Inexecução das obrigações, Comprovante de votação, Fato inexistente, Recibo, Certificação profissional","inexequibilidade e comprovação - Descumprimento, Crime impossível, Inexecução das obrigações, Comprovante de votação, Fato inexistente, Recibo, Certificação profissional, Obras e serviços de engenharia","inexequibilidade e comprovação - Descumprimento, Crime impossível, Inexecução das obrigações, Comprovante de votação, Fato inexistente, Recibo, Certificação profissional, Obras e serviços de engenharia","inexequibilidade e comprovação - Descumprimento, Crime impossível, Inexecução das obrigações, Comprovante de votação, Fato inexistente, Recibo, Certificação profissional, Obras e serviços de engenharia"
17,impedimento de licitar e contratar,search log,impedimento de licitar e contratar - Suspensão temporária,"impedimento de licitar e contratar - Suspensão temporária, Inexigibilidade de licitação","impedimento de licitar e contratar - Suspensão temporária, Inexigibilidade de licitação, Inidoneidade","impedimento de licitar e contratar - Suspensão temporária, Inexigibilidade de licitação, Inidoneidade, Negociar","impedimento de licitar e contratar - Suspensão temporária, Inexigibilidade de licitação, Inidoneidade, Negociar, Contratação temporária","impedimento de licitar e contratar - Suspensão temporária, Inexigibilidade de licitação, Inidoneidade, Negociar, Contratação temporária, Bens e serviços de informática","impedimento de licitar e contratar - Suspensão temporária, Inexigibilidade de licitação, Inidoneidade, Negociar, Contratação temporária, Bens e serviços de informática, Processo administrativo de responsabilização","impedimento de licitar e contratar - Suspensão temporária, Inexigibilidade de licitação, Inidoneidade, Negociar, Contratação temporária, Bens e serviços de informática, Processo administrativo de responsabilização, Cadastro de Empresas Inidôneas e Suspensas","impedimento de licitar e contratar - Suspensão temporária, Inexigibilidade de licitação, Inidoneidade, Negociar, Contratação temporária, Bens e serviços de informática, Processo administrativo de responsabilização, Cadastro de Empresas Inidôneas e Suspensas, Suspeição","impedimento de licitar e contratar - Suspensão temporária, Inexigibilidade de licitação, Inidoneidade, Negociar, Contratação temporária, Bens e serviços de informática, Processo administrativo de responsabilização, Cadastro de Empresas Inidôneas e Suspensas, Suspeição"
18,aditivo e obra,search log,aditivo e obra - Obra pública,"aditivo e obra - Obra pública, Adiantamento","aditivo e obra - Obra pública, Adiantamento, Acréscimo","aditivo e obra - Obra pública, Adiantamento, Acréscimo, Aditivo qualitativo","aditivo e obra - Obra pública, Adiantamento, Acréscimo, Aditivo qualitativo, Termo aditivo","aditivo e obra - Obra pública, Adiantamento, Acréscimo, Aditivo qualitativo, Termo aditivo, Enquadramento","aditivo e obra - Obra pública, Adiantamento, Acréscimo, Aditivo qualitativo, Termo aditivo, Enquadramento, Incorporação","aditivo e obra - Obra pública, Adiantamento, Acréscimo, Aditivo qualitativo, Termo aditivo, Enquadramento, Incorporação, Emenda aditiva","aditivo e obra - Obra pública, Adiantamento, Acréscimo, Aditivo qualitativo, Termo aditivo, Enquadramento, Incorporação, Emenda aditiva, Aditivo quantitativo","aditivo e obra - Obra pública, Adiantamento, Acréscimo, Aditivo qualitativo, Termo aditivo, Enquadramento, Incorporação, Emenda aditiva, Aditivo quantitativo"
19,fraude a licitacao,search log,fraude a licitacao - Fraude contábil,"fraude a licitacao - Fraude contábil, Fator de risco de fraude","fraude a licitacao - Fraude contábil, Fator de risco de fraude, Desvio de recursos","fraude a licitacao - Fraude contábil, Fator de risco de fraude, Desvio de recursos, Auditoria de fraudes","fraude a licitacao - Fraude contábil, Fator de risco de fraude, Desvio de recursos, Auditoria de fraudes, Fraude fiscal","fraude a licitacao - Fraude contábil, Fator de risco de fraude, Desvio de recursos, Auditoria de fraudes, Fraude fiscal, Fraude processual","fraude a licitacao - Fraude contábil, Fator de risco de fraude, Desvio de recursos, Auditoria de fraudes, Fraude fiscal, Fraude processual, Corrupção ativa","fraude a licitacao - Fraude contábil, Fator de risco de fraude, Desvio de recursos, Auditoria de fraudes, Fraude fiscal, Fraude processual, Corrupção ativa, Colusão","fraude a licitacao - Fraude contábil, Fator de risco de fraude, Desvio de recursos, Auditoria de fraudes, Fraude fiscal, Fraude processual, Corrupção ativa, Colusão, Corrupção","fraude a licitacao - Fraude contábil, Fator de risco de fraude, Desvio de recursos, Auditoria de fraudes, Fraude fiscal, Fraude processual, Corrupção ativa, Colusão, Corrupção"
20,auditoria interna,search log,auditoria interna - Auditor interno,"auditoria interna - Auditor interno, Auditoria de gestão","auditoria interna - Auditor interno, Auditoria de gestão, Auditoria externa","auditoria interna - Auditor interno, Auditoria de gestão, Auditoria externa, Mandato da auditoria interna","auditoria interna - Auditor interno, Auditoria de gestão, Auditoria externa, Mandato da auditoria interna, Avaliação de controles internos","auditoria interna - Auditor interno, Auditoria de gestão, Auditoria externa, Mandato da auditoria interna, Avaliação de controles internos, Controle interno","auditoria interna - Auditor interno, Auditoria de gestão, Auditoria externa, Mandato da auditoria interna, Avaliação de controles internos, Controle interno, Auditoria baseada em riscos","auditoria interna - Auditor interno, Auditoria de gestão, Auditoria externa, Mandato da auditoria interna, Avaliação de controles internos, Controle interno, Auditoria baseada em riscos, Equipe de auditoria","auditoria interna - Auditor interno, Auditoria de gestão, Auditoria externa, Mandato da auditoria interna, Avaliação de controles internos, Controle interno, Auditoria baseada em riscos, Equipe de auditoria","auditoria interna - Auditor interno, Auditoria de gestão, Auditoria externa, Mandato da auditoria interna, Avaliação de controles internos, Controle interno, Auditoria baseada em riscos, Equipe de auditoria"
21,fracionamento de despesas,search log,fracionamento de despesas - Fracionamento da despesa,"fracionamento de despesas - Fracionamento da despesa, Parcelamento do objeto","fracionamento de despesas - Fracionamento da despesa, Parcelamento do objeto, Despesa","fracionamento de despesas - Fracionamento da despesa, Parcelamento do objeto, Despesa, Despesa de custeio","fracionamento de despesas - Fracionamento da despesa, Parcelamento do objeto, Despesa, Despesa de custeio, Subtração","fracionamento de despesas - Fracionamento da despesa, Parcelamento do objeto, Despesa, Despesa de custeio, Subtração, Contratação direta","fracionamento de despesas - Fracionamento da despesa, Parcelamento do objeto, Despesa, Despesa de custeio, Subtração, Contratação direta, Custo indireto","fracionamento de despesas - Fracionamento da despesa, Parcelamento do objeto, Despesa, Despesa de custeio, Subtração, Contratação direta, Custo indireto, Gastos discricionários","fracionamento de despesas - Fracionamento da despesa, Parcelamento do objeto, Despesa, Despesa de custeio, Subtração, Contratação direta, Custo indireto, Gastos discricionários, Redução","fracionamento de despesas - Fracionamento da despesa, Parcelamento do objeto, Despesa, Despesa de custeio, Subtração, Contratação direta, Custo indireto, Gastos discricionários, Redução"
22,novo e improrrogável prazo,search log,novo e improrrogável prazo - Prorrogação de contrato,"novo e improrrogável prazo - Prorrogação de contrato, Termo inicial","novo e improrrogável prazo - Prorrogação de contrato, Termo inicial, Tempestividade","novo e improrrogável prazo - Prorrogação de contrato, Termo inicial, Tempestividade, Documento novo","novo e improrrogável prazo - Prorrogação de contrato, Termo inicial, Tempestividade, Documento novo, Cargo temporário","novo e improrrogável prazo - Prorrogação de contrato, Termo inicial, Tempestividade, Documento novo, Cargo temporário, Apelação","novo e improrrogável prazo - Prorrogação de contrato, Termo inicial, Tempestividade, Documento novo, Cargo temporário, Apelação, Ativo realizável a longo prazo","novo e improrrogável prazo - Prorrogação de contrato, Termo inicial, Tempestividade, Documento novo, Cargo temporário, Apelação, Ativo realizável a longo prazo, Serviço novo","novo e improrrogável prazo - Prorrogação de contrato, Termo inicial, Tempestividade, Documento novo, Cargo temporário, Apelação, Ativo realizável a longo prazo, Serviço novo, Contrato de trabalho por prazo determinado","novo e improrrogável prazo - Prorrogação de contrato, Termo inicial, Tempestividade, Documento novo, Cargo temporário, Apelação, Ativo realizável a longo prazo, Serviço novo, Contrato de trabalho por prazo determinado"
23,inidoneidade de licitante,search log,inidoneidade de licitante - Declaração de inidoneidade,"inidoneidade de licitante - Declaração de inidoneidade, Idoneidade","inidoneidade de licitante - Declaração de inidoneidade, Idoneidade, Proposta","inidoneidade de licitante - Declaração de inidoneidade, Idoneidade, Proposta, Declaração","inidoneidade de licitante - Declaração de inidoneidade, Idoneidade, Proposta, Declaração, Habilitação de licitante","inidoneidade de licitante - Declaração de inidoneidade, Idoneidade, Proposta, Declaração, Habilitação de licitante, Licitante vencedor","inidoneidade de licitante - Declaração de inidoneidade, Idoneidade, Proposta, Declaração, Habilitação de licitante, Licitante vencedor, Proposta de preço","inidoneidade de licitante - Declaração de inidoneidade, Idoneidade, Proposta, Declaração, Habilitação de licitante, Licitante vencedor, Proposta de preço, Sanção administrativa","inidoneidade de licitante - Declaração de inidoneidade, Idoneidade, Proposta, Declaração, Habilitação de licitante, Licitante vencedor, Proposta de preço, Sanção administrativa","inidoneidade de licitante - Declaração de inidoneidade, Idoneidade, Proposta, Declaração, Habilitação de licitante, Licitante vencedor, Proposta de preço, Sanção administrativa"
24,licitações e contratos,search log,licitações e contratos - Licitação,"licitações e contratos - Licitação, Contratações públicas","licitações e contratos - Licitação, Contratações públicas, Lei de Licitações e Contratos","licitações e contratos - Licitação, Contratações públicas, Lei de Licitações e Contratos, Contrato administrativo","licitações e contratos - Licitação, Contratações públicas, Lei de Licitações e Contratos, Contrato administrativo, Contrato","licitações e contratos - Licitação, Contratações públicas, Lei de Licitações e Contratos, Contrato administrativo, Contrato, Edital de licitação","licitações e contratos - Licitação, Contratações públicas, Lei de Licitações e Contratos, Contrato administrativo, Contrato, Edital de licitação, Licitante","licitações e contratos - Licitação, Contratações públicas, Lei de Licitações e Contratos, Contrato administrativo, Contrato, Edital de licitação, Licitante, Formalização do contrato","licitações e contratos - Licitação, Contratações públicas, Lei de Licitações e Contratos, Contrato administrativo, Contrato, Edital de licitação, Licitante, Formalização do contrato, Pregão","licitações e contratos - Licitação, Contratações públicas, Lei de Licitações e Contratos, Contrato administrativo, Contrato, Edital de licitação, Licitante, Formalização do contrato, Pregão, Garantia contratual"
