Enunciado de origem;Pesquisa por pergunta;Pesquisa por termos
"#105994
Na contratação de serviços advocatícios por conselho de fiscalização profissional, é excessiva a exigência de apresentação de atestado de capacidade técnica emitido por pessoa jurídica de conselho de classe, pois não se vislumbra, como regra, a necessidade de expertise na prestação de serviços jurídicos a tais entidades.";Qual é o problema na exigência de atestado de capacidade técnica para contratação de serviços advocatícios por conselho de fiscalização profissional?;atestado de capacidade técnica serviços advocatícios conselho de fiscalização profissional
"#29832
É dispensável a reposição de importâncias indevidamente percebidas, de boa-fé, por servidores ativos e inativos, e pensionistas, em virtude de erro escusável de interpretação de lei por parte do órgão/entidade.";É necessária reposição de importâncias indevidamente percebidas, de boa-fé, por servidores, em virtude de erro escusável de interpretação de lei por parte do órgão/entidade?;reposição de importâncias indevidamente percebidas boa-fé servidores erro escusável por órgão/entidade
"#17105
O dano reverso decorrente da falta de produto ou serviço que possa colocar em risco a saúde de pessoas se mostra muito mais gravoso do que o potencial dano ao erário decorrente da aquisição direta para remediar a situação, não podendo ser cobrada do gestor a prática de conduta diversa.";É possível aquisição direta quando a falta de produto ou serviço pode colocar em risco a saúde das pessoas?;aquisição direta risco a saúde
"#71456
Nos pregões para aquisição de medicamentos, a divulgação dos preços estimados da contratação no edital do certame prejudica a obtenção da proposta mais vantajosa para a Administração.";É obrigatória a divulgação dos preços estimados no edital nos pregões para aquisição de medicamentos?;pregão divulgação dos preços estimados no edital
"#31507
As contratações de professores, conferencistas ou instrutores para ministrar cursos de treinamento ou aperfeiçoamento de pessoal enquadram-se na hipótese de inexigibilidade de licitação prevista no inciso II do art. 25, combinado com o inciso VI do art. 13 da Lei 8.666/1993.";A contratação de professores, conferencistas ou instrutores para ministrar cursos de treinamento ou aperfeiçoamento de pessoal se enquadra na inexigibilidade de licitação?;instrutor treinamento inexigibilidade de licitação
"#31108
Reequilíbrio econômico é o reestabelecimento da relação contratual inicialmente ajustada pelas partes, por conta da ocorrência de álea extraordinária, superveniente ao originalmente contratado. O reajuste de preços é a reposição da perda do poder aquisitivo da moeda por meio do emprego de índices de preços prefixados no contrato administrativo. A repactuação, referente a contratos de serviços contínuos, ocorre a partir da variação dos componentes dos custos do contrato, devendo ser demonstrada analiticamente, de acordo com a Planilha de Custos e Formação de Preços.";Qual é a diferença entre reajuste de preços e repactuação?;reajuste de preços e repactuação
"#31104
A diferença entre repactuação e reajuste é que este é automático e realizado periodicamente, mediante aplicação de índice de preço que, dentro do possível, deve refletir os custos setoriais. Enquanto que naquela, de periodicidade anual, não há automatismo, pois é necessário demonstrar a variação dos custos do serviço. Para que ocorra a repactuação, com base na variação dos custos do serviço contratado, deve ser observado o prazo mínimo de um ano, mediante a demonstração analítica da variação dos componentes dos custos, devidamente justificada, não sendo admissível repactuação com base na variação do IGPM.";;
"#42820
Ainda que a Administração tenha aplicado o reajuste previsto no contrato, justifica-se a aplicação da recomposição sempre que se verificar a presença de seus pressupostos, uma vez que o reajuste e a recomposição possuem fundamentos distintos. O reajuste, previsto nos arts. 40, inciso XI, e 55, inciso III, da Lei 8.666/1993, visa remediar os efeitos da inflação. A recomposição, prevista no art. 65, inciso II, alínea d, da Lei 8.666/1993, tem como fim manter equilibrada a relação jurídica entre o particular e a Administração Pública quando houver desequilíbrio advindo de fato imprevisível ou previsível com consequências incalculáveis.";É possível a aplicação da recomposição mesmo após a aplicação do reajuste previsto no contrato?;recomposição reajuste
"#17220
A perda da regularidade fiscal, inclusive quanto à seguridade social, no curso de contratos de execução continuada ou parcelada justifica a imposição de sanções à contratada, mas não autoriza a retenção de pagamentos por serviços prestados.";A retenção de pagamentos é permitida em caso de perda da regularidade fiscal?;retenção de pagamentos perda da regularidade fiscal
"#33081
São irregulares os quesitos de pontuação técnica para cujo atendimento as empresas licitantes tenham de incorrer em despesas que sejam desnecessárias e anteriores à celebração do contrato ou frustrem o caráter competitivo do certame, a exemplo da pontuação para licitantes que possuírem, já na abertura da licitação, determinado quadro de pessoal com técnicos certificados e qualificados; a existência de plataforma de treinamento à distância para os funcionários da licitante; ambiente próprio de help desk para suporte remoto aos profissionais do contrato.";Por que despesas desnecessárias e anteriores à celebração do contrato são consideradas irregulares?;irregulares despesas desnecessárias e anteriores à celebração do contrato
"#22841
A exigência de quadro de pessoal técnico pré-existente e ligado à licitante por vínculo trabalhista ou societário privilegia empresas de grande porte e levam as licitantes a efetuar despesas com a contratação de pessoal simplesmente com a finalidade de participar do certame licitatório.";Como o vínculo trabalhista ou societário pré-existente afeta a competitividade das licitantes no certame licitatório?;vínculo trabalhista ou societário pré-existente competitividade das licitantes
"#43098
É irregular, nas licitações de técnica e preço, atribuir pontuação para empresa licitante simplesmente por possuir, em seu quadro permanente, por determinado tempo, certos tipos de profissionais, o que pode vir a inibir o caráter competitivo do certame e privilegiar empresas de grande porte, além de não garantir que os mesmos profissionais sejam alocados na execução do objeto.";É permitido atribuir pontuação a uma empresa licitante nas licitações de técnica e preço com base na posse de determinados tipos de profissionais em seu quadro permanente?;técnica e preço profissionais quadro permanente
"#85586
A mera existência de erro material ou de omissão na planilha de custos e de formação de preços da licitante não enseja, necessariamente, a desclassificação antecipada da sua proposta, devendo a Administração promover diligência junto ao interessado para a correção das falhas, sem permitir, contudo, a alteração do valor global originalmente proposto.";Um erro material deve levar à desclassificação antecipada da proposta?;erro material desclassificação da proposta
"#122028
A vedação à inclusão de novo documento, prevista no art. 43, § 3º, da Lei 8.666/1993 e no art. 64 da Lei 14.133/2021 (nova Lei de Licitações e Contratos Administrativos) , não alcança documento destinado a atestar condição de habilitação preexistente à abertura da sessão pública, apresentado em sede de diligência.";Há vedação à inclusão de novo documento destinado a atestar condição de habilitação preexistente em sede de diligência?;vedação à inclusão documento habilitação diligência
"#22780
SÚMULA TCU 263: Para a comprovação da capacidade técnico-operacional das licitantes, e desde que limitada, simultaneamente, às parcelas de maior relevância e valor significativo do objeto a ser contratado, é legal a exigência de comprovação da execução de quantitativos mínimos em obras ou serviços com características semelhantes, devendo essa exigência guardar proporção com a dimensão e a complexidade do objeto a ser executado.";A exigência de comprovação de quantitativos mínimos em obras ou serviços com características semelhantes é legal?;exigência comprovação de quantitativos mínimos características semelhantes
"#98454
Os efeitos da sanção de impedimento de licitar e contratar prevista no art. 7º da Lei 10.520/2002 se estendem a toda a esfera de governo do órgão ou da entidade que aplicou a penalidade, incluindo as empresas estatais.";Qual a extensão da sanção de impedimento de licitar e contratar?;extensão sanção de impedimento de licitar e contratar
"#79794
Para fins de habilitação técnico-operacional em certames visando à contratação de obras e serviços de engenharia, devem ser exigidos atestados emitidos em nome da licitante, podendo ser solicitadas as certidões de acervo técnico (CAT) ou anotações/registros de responsabilidade técnica (ART/RRT) emitidas pelo conselho de fiscalização profissional competente em nome dos profissionais vinculados aos referidos atestados, como forma de conferir autenticidade e veracidade às informações constantes nos documentos emitidos em nome das licitantes.";Quais documentos são exigidos para habilitação técnico-operacional em certames de obras e serviços de engenharia?;habilitação técnico-operacional obras e serviços de engenharia
"#110879
Cabe ao órgão gerenciador da ata de registro de preços o controle das autorizações de adesão, a fim de que os quantitativos de cada item registrado contratados pelos caronas não superem os limites previstos no art. 22, §§ 3º, 4º e 4º-A, do Decreto 7.892/2013.";Qual a finalidade do controle das autorizações de adesão?;controle adesão
"#45379
Para fins de habilitação jurídica, é vedada a exigência de apresentação de alvará de funcionamento sem a demonstração de que o documento constitui exigência do Poder Público para o funcionamento da licitante, o que deve ser evidenciado mediante indicação expressa da norma de regência no edital da licitação.";Em que situações a apresentação do alvará de funcionamento é permitida na habilitação jurídica?;alvará de funcionamento habilitação jurídica
"#20797
O cargo de secretário municipal, por ter natureza política, não pode ser considerado cargo técnico ou científico, pois não exige o domínio de conhecimentos especializados. Contudo, é regular sua acumulação com o cargo de professor, se neste o servidor estiver em licença para tratar de interesse particular, não se aplicando a Súmula 246 do TCU.";É permitida a acumulação do cargo de secretário municipal com o cargo de professor?;acumulação de cargo secretário municipal professor
"#135564
Em processo de prestação ou tomada de contas ordinária ou extraordinária, a inexistência de débito e a simultânea prescrição da pretensão punitiva do TCU não impedem o julgamento pela irregularidade das contas.";A prescrição da pretensão punitiva do TCU afeta o julgamento das contas?;prescrição da pretensão punitiva julgamento das contas
"#86727
É válida a utilização do Banco de Preços em Saúde do Ministério da Saúde (BPS) como referência de preços para aquisição de medicamentos e, consequentemente, para fins de quantificação de superfaturamento e sobrepreço, desde que balizada por critérios adequados, que aproximem a pesquisa à contratação analisada.";O Banco de Preços em Saúde é uma referência de preços válida para a aquisição de medicamentos?;Banco de Preços em Saúde referência medicamentos
"#72668
É irregular alteração contratual para incluir, no instrumento pactuado, serviços já previstos no edital como obrigação da futura contratada, mas que foram omitidos na planilha orçamentária da obra. Só se admite alteração, quantitativa ou qualitativa, decorrente de fato superveniente à celebração do contrato, e desde que haja interesse público no aditamento.";É possível a inclusão de serviços já previstos no edital em uma alteração contratual;alteração contratual serviços já previstos no edital
"#452
A observância das normas e das disposições do edital, consoante o art. 41, caput, da Lei 8.666/93, deve ser aplicada mediante a consideração dos princípios basilares que norteiam o procedimento licitatório, dentre eles os da eficiência e da seleção da proposta mais vantajosa. Diante do caso concreto, e a fim de melhor viabilizar a concretização do interesse público, pode o princípio da legalidade estrita ser afastado frente a outros princípios.";O princípio da legalidade estrita pode ser afastado em favor de outros princípios no procedimento licitatório?;licitação princípio da legalidade estrita afastado
"#43880
Na demonstração da vantajosidade de eventual renovação de contrato de serviços de natureza continuada, deve ser realizada ampla pesquisa de preços, priorizando-se consultas a portais de compras governamentais e a contratações similares de outros entes públicos, utilizando-se apenas subsidiariamente a pesquisa com fornecedores.";Quais fontes devem ser prioritárias na pesquisa de preços para a renovação do contrato de serviços de natureza continuada?;renovação de contrato serviços de natureza continuada pesquisa de preços
"#64928
Nas contratações de <i>software</i> fundadas no art. 25, inciso I, da Lei 8.666/1993, não devem ser aceitas cartas de exclusividade emitidas pelos próprios fabricantes, porquanto são válidos apenas os atestados emitidos pelos entes mencionados no referido dispositivo.";Devem ser aceitas nas contratações de software as cartas de exclusividade emitidas pelos próprios fabricantes?;contratações de software cartas de exclusividade
"#17892
A contratação de entidade para prestação de serviços de assistência médica a servidores deve, em regra, ser precedida de licitação, sob pena de afronta ao disposto no art. 2º da Lei 8.666/1993.";Qual é a regra geral para a contratação de entidade para prestação de serviços de assistência médica a servidores?;assistência médica a servidores
"#129357
A exigência de comprovação da execução de quantitativos mínimos em obras ou serviços com características semelhantes, para fins de atestar a capacidade técnico-operacional, deve guardar proporção com a dimensão e a complexidade do objeto e recair, simultaneamente, sobre as parcelas de maior relevância e valor significativo. Como regra, os quantitativos mínimos exigidos não devem ultrapassar 50% do previsto no orçamento base, salvo em condições especiais e devidamente justificadas no processo de licitação.simultaneamente, sobre as parcelas de maior relevância e valor significativo. Como regra, os quantitativos mínimos exigidos não devem ultrapassar 50% do previsto no orçamento base, salvo em condições especiais e devidamente justificadas no processo de licitação.";Quais critérios devem ser considerados ao exigir comprovação da execução de quantitativos mínimos em obras ou serviços?;comprovação quantitativos mínimos obras serviços
Quantidade de enunciados:   56;Quantidade de perguntas:   51;Quant. expressões de busca:   50
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
