QUERY_ID,DOC_ID,SCORE,ENGINE,RANK
54,21817,2,(BM25|STS)+Reranker+LLM,3
54,22211,2,(BM25|STS)+Reranker+LLM,4
54,22212,2,(BM25|STS)+Reranker+LLM,5
54,21853,2,(BM25|STS)+Reranker+LLM,6
54,48357,2,(BM25|STS)+Reranker+LLM,8
54,22135,2,(BM25|STS)+Reranker+LLM,9
54,54764,2,(BM25|STS)+Reranker+LLM,10
54,9775,0,BM25+LLM,323
54,54302,0,BM25+LLM,596
54,34789,0,BM25+LLM,676
54,19575,0,BM25+LLM,743
54,14959,0,BM25+LLM,755
55,17992,3,(BM25|STS)+Reranker+LLM,1
55,19451,3,(BM25|STS)+Reranker+LLM,2
55,17993,3,(BM25|STS)+Reranker+LLM,3
55,18924,2,(BM25|STS)+Reranker+LLM,4
55,57986,2,(BM25|STS)+Reranker+LLM,5
55,18040,2,(BM25|STS)+Reranker+LLM,6
55,82758,2,(BM25|STS)+Reranker+LLM,10
55,120633,1,(BM25|STS)+Reranker+LLM,7
55,18060,1,(BM25|STS)+Reranker+LLM,8
55,23077,1,(BM25|STS)+Reranker+LLM,9
55,34906,1,BM25+LLM,501
55,18072,0,BM25+LLM,82
55,18371,0,BM25+LLM,231
55,80578,0,BM25+LLM,614
55,90652,0,BM25+LLM,652
56,18865,3,(BM25|STS)+Reranker+LLM,1
56,31249,3,(BM25|STS)+Reranker+LLM,2
56,14114,2,(BM25|STS)+Reranker+LLM,3
56,31278,2,(BM25|STS)+Reranker+LLM,4
56,14273,2,(BM25|STS)+Reranker+LLM,9
56,31250,1,(BM25|STS)+Reranker+LLM,5
56,31252,1,(BM25|STS)+Reranker+LLM,6
56,5714,1,(BM25|STS)+Reranker+LLM,7
56,25574,1,(BM25|STS)+Reranker+LLM,8
56,50055,1,(BM25|STS)+Reranker+LLM,10
56,90275,1,BM25+LLM,329
56,31610,0,BM25+LLM,181
56,5066,0,BM25+LLM,601
56,81119,0,BM25+LLM,621
56,13277,0,BM25+LLM,855
57,5714,3,(BM25|STS)+Reranker+LLM,1
57,18426,2,(BM25|STS)+Reranker+LLM,3
57,17129,2,(BM25|STS)+Reranker+LLM,5
57,18100,2,(BM25|STS)+Reranker+LLM,7
57,31277,1,(BM25|STS)+Reranker+LLM,2
57,34883,1,(BM25|STS)+Reranker+LLM,4
57,18865,1,(BM25|STS)+Reranker+LLM,6
57,22098,1,(BM25|STS)+Reranker+LLM,8
57,146739,1,(BM25|STS)+Reranker+LLM,9
57,21936,1,(BM25|STS)+Reranker+LLM,10
57,32946,1,BM25+LLM,430
57,18849,1,BM25+LLM,820
57,25289,1,BM25+LLM,942
57,39454,0,BM25+LLM,307
57,108414,0,BM25+LLM,322
58,123011,3,(BM25|STS)+Reranker+LLM,1
58,71433,3,(BM25|STS)+Reranker+LLM,2
58,36637,3,(BM25|STS)+Reranker+LLM,3
58,55607,2,(BM25|STS)+Reranker+LLM,4
58,96554,2,(BM25|STS)+Reranker+LLM,5
58,13172,2,(BM25|STS)+Reranker+LLM,6
58,34323,2,(BM25|STS)+Reranker+LLM,7
58,34140,2,(BM25|STS)+Reranker+LLM,8
58,17967,2,(BM25|STS)+Reranker+LLM,9
58,22793,2,(BM25|STS)+Reranker+LLM,10
58,15049,1,BM25+LLM,246
58,18846,1,BM25+LLM,454
58,34306,0,BM25+LLM,541
58,17229,0,BM25+LLM,844
58,19399,0,BM25+LLM,997
59,109695,3,(BM25|STS)+Reranker+LLM,1
59,67390,3,(BM25|STS)+Reranker+LLM,2
59,12949,3,(BM25|STS)+Reranker+LLM,3
59,17090,3,(BM25|STS)+Reranker+LLM,5
59,108415,2,(BM25|STS)+Reranker+LLM,4
59,12696,2,(BM25|STS)+Reranker+LLM,6
59,18015,2,(BM25|STS)+Reranker+LLM,7
59,17109,2,(BM25|STS)+Reranker+LLM,8
59,72668,2,(BM25|STS)+Reranker+LLM,9
59,18936,1,(BM25|STS)+Reranker+LLM,10
59,19332,1,BM25+LLM,31
59,5028,1,BM25+LLM,394
59,18953,0,BM25+LLM,667
59,21200,0,BM25+LLM,801
59,32974,0,BM25+LLM,982
60,63595,3,(BM25|STS)+Reranker+LLM,1
60,13233,3,(BM25|STS)+Reranker+LLM,2
60,34672,3,(BM25|STS)+Reranker+LLM,3
60,9989,3,(BM25|STS)+Reranker+LLM,4
60,35428,3,(BM25|STS)+Reranker+LLM,5
60,35258,3,(BM25|STS)+Reranker+LLM,6
60,35435,3,(BM25|STS)+Reranker+LLM,7
60,13770,3,(BM25|STS)+Reranker+LLM,10
60,111444,2,(BM25|STS)+Reranker+LLM,8
60,145500,2,(BM25|STS)+Reranker+LLM,9
60,100468,1,BM25+LLM,170
60,35501,1,BM25+LLM,527
60,25256,0,BM25+LLM,450
60,31569,0,BM25+LLM,856
60,23125,0,BM25+LLM,932
61,17128,2,(BM25|STS)+Reranker+LLM,1
61,44162,2,(BM25|STS)+Reranker+LLM,2
61,26067,2,(BM25|STS)+Reranker+LLM,3
61,26111,2,(BM25|STS)+Reranker+LLM,6
61,44145,1,(BM25|STS)+Reranker+LLM,4
61,37170,1,(BM25|STS)+Reranker+LLM,5
61,68698,1,(BM25|STS)+Reranker+LLM,7
61,64402,1,(BM25|STS)+Reranker+LLM,8
61,16157,1,(BM25|STS)+Reranker+LLM,9
61,79602,1,(BM25|STS)+Reranker+LLM,10
61,31254,1,BM25+LLM,172
61,13191,1,BM25+LLM,624
61,13186,1,BM25+LLM,643
61,40475,0,BM25+LLM,493
61,25961,0,BM25+LLM,715
62,107361,3,(BM25|STS)+Reranker+LLM,1
62,13694,3,(BM25|STS)+Reranker+LLM,2
62,42817,2,(BM25|STS)+Reranker+LLM,3
62,22108,2,(BM25|STS)+Reranker+LLM,9
62,34226,1,(BM25|STS)+Reranker+LLM,4
62,42635,1,(BM25|STS)+Reranker+LLM,5
62,20844,1,(BM25|STS)+Reranker+LLM,6
62,17831,1,(BM25|STS)+Reranker+LLM,7
62,39216,1,(BM25|STS)+Reranker+LLM,8
62,20503,1,(BM25|STS)+Reranker+LLM,10
62,18004,1,BM25+LLM,194
62,18862,1,BM25+LLM,635
62,39450,0,BM25+LLM,129
62,15727,0,BM25+LLM,490
62,17335,0,BM25+LLM,500
63,13583,3,(BM25|STS)+Reranker+LLM,1
63,17184,3,(BM25|STS)+Reranker+LLM,2
63,75014,3,(BM25|STS)+Reranker+LLM,4
63,109923,3,(BM25|STS)+Reranker+LLM,5
63,36337,3,(BM25|STS)+Reranker+LLM,10
63,83994,2,(BM25|STS)+Reranker+LLM,3
63,57781,2,(BM25|STS)+Reranker+LLM,6
63,34746,2,(BM25|STS)+Reranker+LLM,7
63,4856,2,(BM25|STS)+Reranker+LLM,8
63,43804,2,(BM25|STS)+Reranker+LLM,9
63,40641,1,BM25+LLM,50
63,48269,1,BM25+LLM,186
63,28855,1,BM25+LLM,519
63,9650,1,BM25+LLM,530
63,83,1,BM25+LLM,938
64,31629,3,(BM25|STS)+Reranker+LLM,1
64,103458,3,(BM25|STS)+Reranker+LLM,3
64,59211,3,(BM25|STS)+Reranker+LLM,4
64,70748,3,(BM25|STS)+Reranker+LLM,5
64,54852,3,(BM25|STS)+Reranker+LLM,6
64,15253,3,(BM25|STS)+Reranker+LLM,7
64,50140,3,(BM25|STS)+Reranker+LLM,8
64,43879,3,(BM25|STS)+Reranker+LLM,9
64,28189,3,(BM25|STS)+Reranker+LLM,10
64,151614,1,(BM25|STS)+Reranker+LLM,2
64,81554,1,BM25+LLM,323
64,17812,1,BM25+LLM,370
64,8858,1,BM25+LLM,679
64,19572,0,BM25+LLM,559
64,22135,0,BM25+LLM,800
65,21864,3,(BM25|STS)+Reranker+LLM,1
65,21135,3,(BM25|STS)+Reranker+LLM,3
65,22165,3,(BM25|STS)+Reranker+LLM,4
65,22095,3,(BM25|STS)+Reranker+LLM,5
65,22813,3,(BM25|STS)+Reranker+LLM,6
65,54852,3,(BM25|STS)+Reranker+LLM,8
65,16996,3,(BM25|STS)+Reranker+LLM,9
65,22164,3,(BM25|STS)+Reranker+LLM,10
65,18410,2,(BM25|STS)+Reranker+LLM,7
65,32467,1,(BM25|STS)+Reranker+LLM,2
65,21235,1,BM25+LLM,245
65,20595,1,BM25+LLM,308
65,32637,1,BM25+LLM,510
65,103374,1,BM25+LLM,745
65,20543,0,BM25+LLM,939
66,52912,3,(BM25|STS)+Reranker+LLM,1
66,15092,3,(BM25|STS)+Reranker+LLM,3
66,22168,3,(BM25|STS)+Reranker+LLM,4
66,20561,3,(BM25|STS)+Reranker+LLM,5
66,16895,3,(BM25|STS)+Reranker+LLM,6
66,45015,3,(BM25|STS)+Reranker+LLM,7
66,50537,3,(BM25|STS)+Reranker+LLM,8
66,14526,3,(BM25|STS)+Reranker+LLM,9
66,62306,3,(BM25|STS)+Reranker+LLM,10
66,147727,2,(BM25|STS)+Reranker+LLM,2
66,136440,0,BM25+LLM,211
66,29923,0,BM25+LLM,392
66,33983,0,BM25+LLM,501
66,39037,0,BM25+LLM,580
66,43356,0,BM25+LLM,677
67,17209,3,(BM25|STS)+Reranker+LLM,1
67,10089,3,(BM25|STS)+Reranker+LLM,2
67,49135,3,(BM25|STS)+Reranker+LLM,3
67,11612,3,(BM25|STS)+Reranker+LLM,4
67,17089,3,(BM25|STS)+Reranker+LLM,5
67,15532,3,(BM25|STS)+Reranker+LLM,6
67,17249,3,(BM25|STS)+Reranker+LLM,7
67,18019,3,(BM25|STS)+Reranker+LLM,8
67,17204,3,(BM25|STS)+Reranker+LLM,9
67,17206,3,(BM25|STS)+Reranker+LLM,10
67,57008,0,BM25+LLM,105
67,19371,0,BM25+LLM,234
67,53176,0,BM25+LLM,484
67,66707,0,BM25+LLM,769
67,22166,0,BM25+LLM,889
68,104455,3,(BM25|STS)+Reranker+LLM,1
68,18019,1,(BM25|STS)+Reranker+LLM,2
68,17204,1,(BM25|STS)+Reranker+LLM,3
68,21101,1,(BM25|STS)+Reranker+LLM,4
68,92815,1,(BM25|STS)+Reranker+LLM,10
68,21852,1,BM25+LLM,163
68,29832,0,(BM25|STS)+Reranker+LLM,5
68,29651,0,(BM25|STS)+Reranker+LLM,6
68,33620,0,(BM25|STS)+Reranker+LLM,7
68,56084,0,(BM25|STS)+Reranker+LLM,8
68,27107,0,BM25+LLM,9
68,32730,0,(BM25|STS)+Reranker+LLM,9
68,29386,0,BM25+LLM,107
68,28901,0,BM25+LLM,205
68,28966,0,BM25+LLM,249
69,13633,3,(BM25|STS)+Reranker+LLM,1
69,21867,3,(BM25|STS)+Reranker+LLM,2
69,34132,3,(BM25|STS)+Reranker+LLM,3
69,34146,3,(BM25|STS)+Reranker+LLM,4
69,21850,3,(BM25|STS)+Reranker+LLM,7
69,18920,3,(BM25|STS)+Reranker+LLM,8
69,28920,2,(BM25|STS)+Reranker+LLM,5
69,22195,2,(BM25|STS)+Reranker+LLM,6
69,17191,1,(BM25|STS)+Reranker+LLM,9
69,13563,1,(BM25|STS)+Reranker+LLM,10
69,18276,1,BM25+LLM,87
69,58300,1,BM25+LLM,123
69,35620,0,BM25+LLM,142
69,34667,0,BM25+LLM,175
69,31146,0,BM25+LLM,188
70,25573,3,(BM25|STS)+Reranker+LLM,1
70,31005,3,(BM25|STS)+Reranker+LLM,2
70,29129,3,(BM25|STS)+Reranker+LLM,3
70,82005,3,(BM25|STS)+Reranker+LLM,4
70,17043,3,(BM25|STS)+Reranker+LLM,5
70,9775,3,(BM25|STS)+Reranker+LLM,6
70,44207,3,(BM25|STS)+Reranker+LLM,7
70,6549,3,(BM25|STS)+Reranker+LLM,8
70,25445,3,(BM25|STS)+Reranker+LLM,10
70,26060,2,(BM25|STS)+Reranker+LLM,9
70,130410,2,BM25+LLM,50
70,13631,1,BM25+LLM,33
70,25859,1,BM25+LLM,537
70,23558,0,BM25+LLM,798
70,89464,0,BM25+LLM,962
71,22165,3,(BM25|STS)+Reranker+LLM,1
71,22164,3,(BM25|STS)+Reranker+LLM,2
71,15289,3,(BM25|STS)+Reranker+LLM,6
71,54843,3,(BM25|STS)+Reranker+LLM,10
71,69161,2,(BM25|STS)+Reranker+LLM,3
71,37601,2,(BM25|STS)+Reranker+LLM,4
71,22170,2,(BM25|STS)+Reranker+LLM,5
71,18320,2,(BM25|STS)+Reranker+LLM,7
71,40171,2,(BM25|STS)+Reranker+LLM,8
71,12032,2,(BM25|STS)+Reranker+LLM,9
71,34255,2,BM25+LLM,396
71,17233,1,BM25+LLM,431
71,20946,1,BM25+LLM,670
71,31276,1,BM25+LLM,762
71,21841,1,BM25+LLM,961
72,20970,3,(BM25|STS)+Reranker+LLM,1
72,21064,3,(BM25|STS)+Reranker+LLM,2
72,53641,3,(BM25|STS)+Reranker+LLM,3
72,15740,3,(BM25|STS)+Reranker+LLM,4
72,34126,3,(BM25|STS)+Reranker+LLM,5
72,2966,3,(BM25|STS)+Reranker+LLM,6
72,20506,3,(BM25|STS)+Reranker+LLM,7
72,37613,3,(BM25|STS)+Reranker+LLM,8
72,31689,3,(BM25|STS)+Reranker+LLM,9
72,21207,2,(BM25|STS)+Reranker+LLM,10
72,161,1,BM25+LLM,57
72,40647,1,BM25+LLM,294
72,11595,0,BM25+LLM,261
72,22155,0,BM25+LLM,485
72,18435,0,BM25+LLM,913
73,33082,3,(BM25|STS)+Reranker+LLM,1
73,133563,3,(BM25|STS)+Reranker+LLM,2
73,20506,3,(BM25|STS)+Reranker+LLM,4
73,21159,3,(BM25|STS)+Reranker+LLM,5
73,21229,3,(BM25|STS)+Reranker+LLM,6
73,20869,3,(BM25|STS)+Reranker+LLM,7
73,53641,3,(BM25|STS)+Reranker+LLM,8
73,15740,3,(BM25|STS)+Reranker+LLM,9
73,43098,2,(BM25|STS)+Reranker+LLM,3
73,53841,2,(BM25|STS)+Reranker+LLM,10
73,161,1,BM25+LLM,135
73,40647,1,BM25+LLM,497
73,22155,1,BM25+LLM,767
73,11595,0,BM25+LLM,450
73,35538,0,BM25+LLM,466
74,693,3,(BM25|STS)+Reranker+LLM,1
74,18399,3,(BM25|STS)+Reranker+LLM,6
74,18409,3,(BM25|STS)+Reranker+LLM,8
74,18954,3,(BM25|STS)+Reranker+LLM,9
74,31101,3,(BM25|STS)+Reranker+LLM,10
74,31061,2,(BM25|STS)+Reranker+LLM,2
74,18955,2,(BM25|STS)+Reranker+LLM,3
74,82570,2,(BM25|STS)+Reranker+LLM,4
74,14508,2,(BM25|STS)+Reranker+LLM,5
74,31060,2,(BM25|STS)+Reranker+LLM,7
74,20239,0,BM25+LLM,258
74,57955,0,BM25+LLM,332
74,22281,0,BM25+LLM,799
74,81742,0,BM25+LLM,830
74,17097,0,BM25+LLM,926
75,105994,3,(BM25|STS)+Reranker+LLM,1
75,26341,3,(BM25|STS)+Reranker+LLM,2
75,17017,3,(BM25|STS)+Reranker+LLM,3
75,9884,2,(BM25|STS)+Reranker+LLM,4
75,25289,2,(BM25|STS)+Reranker+LLM,6
75,102918,1,(BM25|STS)+Reranker+LLM,5
75,79794,1,(BM25|STS)+Reranker+LLM,7
75,135758,1,(BM25|STS)+Reranker+LLM,8
75,51117,1,(BM25|STS)+Reranker+LLM,9
75,19500,1,(BM25|STS)+Reranker+LLM,10
75,31583,1,BM25+LLM,245
75,22817,1,BM25+LLM,671
75,4777,0,BM25+LLM,120
75,25275,0,BM25+LLM,557
75,39668,0,BM25+LLM,596
76,33621,3,(BM25|STS)+Reranker+LLM,1
76,32402,3,(BM25|STS)+Reranker+LLM,2
76,32034,3,(BM25|STS)+Reranker+LLM,3
76,29832,3,(BM25|STS)+Reranker+LLM,4
76,29854,3,(BM25|STS)+Reranker+LLM,5
76,32024,3,(BM25|STS)+Reranker+LLM,6
76,29664,3,(BM25|STS)+Reranker+LLM,7
76,32035,3,(BM25|STS)+Reranker+LLM,8
76,44954,3,(BM25|STS)+Reranker+LLM,10
76,1846,2,(BM25|STS)+Reranker+LLM,9
76,13236,1,BM25+LLM,219
76,22886,1,BM25+LLM,235
76,38963,0,BM25+LLM,317
76,25671,0,BM25+LLM,737
76,146302,0,BM25+LLM,769
77,17105,3,(BM25|STS)+Reranker+LLM,1
77,104716,2,(BM25|STS)+Reranker+LLM,2
77,67871,2,(BM25|STS)+Reranker+LLM,3
77,17350,2,(BM25|STS)+Reranker+LLM,4
77,14485,2,(BM25|STS)+Reranker+LLM,5
77,16252,2,(BM25|STS)+Reranker+LLM,6
77,17275,2,(BM25|STS)+Reranker+LLM,9
77,107401,1,(BM25|STS)+Reranker+LLM,7
77,18183,1,(BM25|STS)+Reranker+LLM,8
77,20560,1,(BM25|STS)+Reranker+LLM,10
77,18086,1,BM25+LLM,60
77,32963,1,BM25+LLM,309
77,31627,1,BM25+LLM,466
77,91254,1,BM25+LLM,572
77,45859,0,BM25+LLM,238
78,14895,3,(BM25|STS)+Reranker+LLM,1
78,71456,3,(BM25|STS)+Reranker+LLM,2
78,17895,3,(BM25|STS)+Reranker+LLM,3
78,13226,3,(BM25|STS)+Reranker+LLM,7
78,67011,3,(BM25|STS)+Reranker+LLM,9
78,14555,3,(BM25|STS)+Reranker+LLM,10
78,17173,2,(BM25|STS)+Reranker+LLM,4
78,19410,2,(BM25|STS)+Reranker+LLM,5
78,19390,2,(BM25|STS)+Reranker+LLM,6
78,18860,2,(BM25|STS)+Reranker+LLM,8
78,31580,1,BM25+LLM,236
78,13564,1,BM25+LLM,257
78,21194,1,BM25+LLM,745
78,18081,0,BM25+LLM,424
78,72668,0,BM25+LLM,503
79,34290,3,(BM25|STS)+Reranker+LLM,1
79,31507,3,(BM25|STS)+Reranker+LLM,2
79,32925,2,(BM25|STS)+Reranker+LLM,3
79,34227,2,(BM25|STS)+Reranker+LLM,5
79,18265,2,(BM25|STS)+Reranker+LLM,6
79,18196,2,(BM25|STS)+Reranker+LLM,9
79,31681,1,(BM25|STS)+Reranker+LLM,4
79,18229,1,(BM25|STS)+Reranker+LLM,7
79,34940,1,(BM25|STS)+Reranker+LLM,8
79,51394,1,(BM25|STS)+Reranker+LLM,10
79,32922,1,BM25+LLM,135
79,90632,1,BM25+LLM,147
79,34306,1,BM25+LLM,964
79,18854,0,BM25+LLM,459
79,13563,0,BM25+LLM,502
80,31108,3,(BM25|STS)+Reranker+LLM,1
80,31104,3,(BM25|STS)+Reranker+LLM,2
80,17262,3,(BM25|STS)+Reranker+LLM,4
80,18047,3,(BM25|STS)+Reranker+LLM,9
80,31080,3,(BM25|STS)+Reranker+LLM,10
80,17821,2,(BM25|STS)+Reranker+LLM,3
80,14814,2,(BM25|STS)+Reranker+LLM,5
80,18390,2,(BM25|STS)+Reranker+LLM,6
80,21100,2,(BM25|STS)+Reranker+LLM,7
80,21101,2,(BM25|STS)+Reranker+LLM,8
80,20521,1,BM25+LLM,87
80,31598,1,BM25+LLM,327
80,29349,1,BM25+LLM,348
80,55237,1,BM25+LLM,519
80,29581,0,BM25+LLM,21
81,42820,3,(BM25|STS)+Reranker+LLM,1
81,42821,3,(BM25|STS)+Reranker+LLM,2
81,18902,2,(BM25|STS)+Reranker+LLM,10
81,17254,2,BM25+LLM,79
81,31108,1,(BM25|STS)+Reranker+LLM,3
81,17821,1,(BM25|STS)+Reranker+LLM,4
81,9751,1,(BM25|STS)+Reranker+LLM,5
81,41099,1,(BM25|STS)+Reranker+LLM,6
81,14814,1,(BM25|STS)+Reranker+LLM,8
81,31104,1,(BM25|STS)+Reranker+LLM,9
81,25964,1,BM25+LLM,18
81,24174,1,BM25+LLM,47
81,133054,1,BM25+LLM,71
81,34269,1,BM25+LLM,94
81,68308,0,(BM25|STS)+Reranker+LLM,7
82,17220,3,(BM25|STS)+Reranker+LLM,1
82,18386,2,(BM25|STS)+Reranker+LLM,7
82,35189,2,(BM25|STS)+Reranker+LLM,8
82,20569,1,(BM25|STS)+Reranker+LLM,2
82,47911,1,(BM25|STS)+Reranker+LLM,3
82,21104,1,(BM25|STS)+Reranker+LLM,4
82,32471,1,(BM25|STS)+Reranker+LLM,9
82,25995,1,(BM25|STS)+Reranker+LLM,10
82,19709,1,BM25+LLM,343
82,60736,0,(BM25|STS)+Reranker+LLM,5
82,19340,0,(BM25|STS)+Reranker+LLM,6
82,23064,0,BM25+LLM,82
82,23997,0,BM25+LLM,155
82,31147,0,BM25+LLM,515
82,57659,0,BM25+LLM,691
83,33080,2,(BM25|STS)+Reranker+LLM,1
83,33083,2,(BM25|STS)+Reranker+LLM,2
83,33081,2,(BM25|STS)+Reranker+LLM,3
83,33937,2,(BM25|STS)+Reranker+LLM,4
83,31669,2,(BM25|STS)+Reranker+LLM,5
83,32454,2,(BM25|STS)+Reranker+LLM,6
83,31680,2,(BM25|STS)+Reranker+LLM,7
83,31681,2,(BM25|STS)+Reranker+LLM,9
83,15096,2,(BM25|STS)+Reranker+LLM,10
83,17021,2,BM25+LLM,14
83,22854,1,(BM25|STS)+Reranker+LLM,8
83,20946,1,BM25+LLM,49
83,34924,1,BM25+LLM,105
83,35031,1,BM25+LLM,320
83,43957,0,BM25+LLM,258
84,22108,3,(BM25|STS)+Reranker+LLM,3
84,22841,2,(BM25|STS)+Reranker+LLM,1
84,21833,2,(BM25|STS)+Reranker+LLM,2
84,26874,2,(BM25|STS)+Reranker+LLM,4
84,80979,2,(BM25|STS)+Reranker+LLM,5
84,63725,2,(BM25|STS)+Reranker+LLM,6
84,18877,2,(BM25|STS)+Reranker+LLM,7
84,16982,2,(BM25|STS)+Reranker+LLM,8
84,22854,2,(BM25|STS)+Reranker+LLM,9
84,18285,1,(BM25|STS)+Reranker+LLM,10
84,102414,1,BM25+LLM,509
84,13123,1,BM25+LLM,549
84,31083,0,BM25+LLM,114
84,2127,0,BM25+LLM,455
84,18402,0,BM25+LLM,720
85,43098,3,(BM25|STS)+Reranker+LLM,1
85,22810,3,(BM25|STS)+Reranker+LLM,4
85,21834,3,(BM25|STS)+Reranker+LLM,5
85,18035,2,(BM25|STS)+Reranker+LLM,2
85,3225,2,(BM25|STS)+Reranker+LLM,3
85,33083,2,(BM25|STS)+Reranker+LLM,6
85,33954,2,(BM25|STS)+Reranker+LLM,7
85,21881,2,(BM25|STS)+Reranker+LLM,8
85,25577,2,(BM25|STS)+Reranker+LLM,9
85,14522,1,(BM25|STS)+Reranker+LLM,10
85,14515,1,BM25+LLM,90
85,34313,1,BM25+LLM,250
85,18392,1,BM25+LLM,564
85,20899,0,BM25+LLM,518
85,34668,0,BM25+LLM,794
86,62787,3,(BM25|STS)+Reranker+LLM,1
86,19403,3,(BM25|STS)+Reranker+LLM,2
86,55237,3,(BM25|STS)+Reranker+LLM,3
86,85586,3,(BM25|STS)+Reranker+LLM,4
86,75210,3,(BM25|STS)+Reranker+LLM,5
86,20495,3,(BM25|STS)+Reranker+LLM,6
86,104236,2,(BM25|STS)+Reranker+LLM,7
86,23588,2,(BM25|STS)+Reranker+LLM,8
86,18264,2,(BM25|STS)+Reranker+LLM,10
86,18888,2,BM25+LLM,97
86,142726,1,(BM25|STS)+Reranker+LLM,9
86,34130,1,BM25+LLM,163
86,71794,1,BM25+LLM,397
86,97198,0,BM25+LLM,626
86,14470,0,BM25+LLM,984
87,122028,3,(BM25|STS)+Reranker+LLM,1
87,21053,3,(BM25|STS)+Reranker+LLM,2
87,113541,3,(BM25|STS)+Reranker+LLM,5
87,15259,2,(BM25|STS)+Reranker+LLM,3
87,20533,2,(BM25|STS)+Reranker+LLM,8
87,21922,1,(BM25|STS)+Reranker+LLM,4
87,22107,1,(BM25|STS)+Reranker+LLM,6
87,32841,1,(BM25|STS)+Reranker+LLM,7
87,28885,1,(BM25|STS)+Reranker+LLM,9
87,18884,1,(BM25|STS)+Reranker+LLM,10
87,52875,1,BM25+LLM,149
87,42402,1,BM25+LLM,190
87,111519,0,BM25+LLM,793
87,27788,0,BM25+LLM,870
87,50845,0,BM25+LLM,903
88,15885,3,(BM25|STS)+Reranker+LLM,1
88,129357,3,(BM25|STS)+Reranker+LLM,2
88,22780,3,(BM25|STS)+Reranker+LLM,3
88,21939,3,(BM25|STS)+Reranker+LLM,4
88,97634,3,(BM25|STS)+Reranker+LLM,5
88,22803,3,(BM25|STS)+Reranker+LLM,10
88,13172,2,(BM25|STS)+Reranker+LLM,6
88,128556,2,(BM25|STS)+Reranker+LLM,7
88,65447,2,(BM25|STS)+Reranker+LLM,8
88,96554,2,(BM25|STS)+Reranker+LLM,9
88,22139,2,BM25+LLM,34
88,21818,1,BM25+LLM,696
88,76977,1,BM25+LLM,937
88,142758,0,BM25+LLM,646
88,25483,0,BM25+LLM,732
89,98454,3,(BM25|STS)+Reranker+LLM,1
89,34726,3,(BM25|STS)+Reranker+LLM,2
89,38824,3,(BM25|STS)+Reranker+LLM,4
89,68667,3,(BM25|STS)+Reranker+LLM,7
89,34929,2,(BM25|STS)+Reranker+LLM,3
89,34995,2,(BM25|STS)+Reranker+LLM,5
89,14890,2,(BM25|STS)+Reranker+LLM,6
89,16319,2,(BM25|STS)+Reranker+LLM,8
89,34890,2,(BM25|STS)+Reranker+LLM,9
89,34771,2,(BM25|STS)+Reranker+LLM,10
89,18870,1,BM25+LLM,170
89,44156,1,BM25+LLM,437
89,93766,0,BM25+LLM,416
89,33013,0,BM25+LLM,657
89,28936,0,BM25+LLM,782
90,79794,3,(BM25|STS)+Reranker+LLM,1
90,135758,3,(BM25|STS)+Reranker+LLM,2
90,12354,3,(BM25|STS)+Reranker+LLM,3
